Percentage,Top k Stereotypes,Coverage
10.0,2,0.2261904761904762
20.0,4,0.44047619047619047
30.0,6,0.6190476190476191
40.0,8,0.75
50.0,10,0.8333333333333334
60.0,12,0.9007936507936508
70.0,14,0.9484126984126984
80.0,16,0.9841269841269841
90.0,18,1.0
100.0,21,1.0
