Percentage,Top k Stereotypes,Coverage
10.0,2,0.4344959222627104
20.0,4,0.7195904910636821
30.0,6,0.8330730522297415
40.0,8,0.9111573833073052
50.0,10,0.959049106368211
60.0,12,0.9829949678986639
70.0,14,0.9930591705708832
80.0,16,0.9982647926427208
90.0,18,1.0
100.0,21,1.0
