model,abstract,abstractNature,aggregationKind,attribute,begin,bringsAbout,cardinality,Cardinality,cardinalityValue,categorizer,category,characterization,Class,collective,collectiveNature,comparative,componentOf,composite,creation,datatype,derivation,description,end,enumeration,event,eventNature,externalDependence,extrinsicModeNature,functionalComplexNature,general,generalization,Generalization,GeneralizationSet,historicalDependence,historicalRole,historicalRoleMixin,instantiation,intrinsicModeNature,isAbstract,isComplete,isDerived,isDisjoint,isExtensional,isOrdered,isPowertype,isReadOnly,kind,literal,Literal,lowerBound,manifestation,material,mediation,memberOf,mixin,mode,name,none,Note,order,participation,participational,phase,phaseMixin,property,Property,propertyType,quality,qualityNature,quantity,quantityNature,redefinesProperty,Relation,relationEnd,relator,relatorNature,restrictedTo,role,roleMixin,shared,situation,situationNature,sourceEnd,specific,stereotype,subCollectionOf,subkind,subQuantityOf,subsetsProperty,targetEnd,termination,triggers,type,typeNature,upperBound
abel2015petroleum-system,6,0,59,17,0,0,42,42,42,0,0,3,29,0,0,0,0,0,0,1,0,0,0,5,6,0,0,0,0,9,0,9,0,0,0,0,0,0,29,0,109,0,29,59,29,59,4,14,14,6,0,0,0,0,1,0,66,50,0,29,0,0,0,0,0,59,57,4,0,12,0,0,21,42,0,0,29,3,0,9,8,0,21,9,41,0,0,0,0,21,0,0,0,0,6
abrahao2018agriculture-operations,0,0,106,0,0,0,106,106,106,0,3,1,22,0,0,0,3,1,0,0,6,0,0,0,0,0,0,0,0,14,10,14,3,0,0,0,0,0,22,3,181,3,22,106,22,106,9,0,0,96,0,11,2,0,0,0,65,100,0,22,0,0,0,0,0,106,106,0,0,0,0,0,53,106,13,0,20,0,0,5,0,0,53,14,46,0,2,0,0,53,0,0,0,0,96
aguiar2018rdbs-o,0,0,62,0,0,0,62,62,62,0,4,0,43,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,8,37,3,0,0,0,0,0,43,3,136,3,43,62,43,62,12,0,0,59,0,2,0,0,0,3,144,61,0,43,0,0,0,0,0,62,62,0,0,0,0,0,31,62,0,0,40,2,0,0,0,0,31,37,45,0,21,0,0,31,0,0,0,0,59
aguiar2019ooco,0,0,62,0,0,0,62,62,62,0,5,6,56,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,46,25,46,13,0,0,0,0,0,56,13,149,13,56,62,56,62,11,0,0,62,0,0,0,0,0,0,150,51,0,56,0,0,0,0,0,62,62,12,0,0,0,0,31,62,4,0,55,3,0,0,0,0,31,46,73,0,29,0,0,31,0,0,0,0,62
aires2022valuenetworks-geo,0,0,106,0,0,0,106,106,106,0,3,1,22,0,0,0,3,1,0,0,6,0,0,0,0,0,0,0,0,14,10,14,3,0,0,0,0,0,22,3,181,3,22,106,22,106,9,0,0,96,0,11,2,0,0,0,65,100,0,22,0,0,0,0,0,106,106,0,0,0,0,0,53,106,13,0,20,0,0,5,0,0,53,14,46,0,2,0,0,53,0,0,0,0,96
albuquerque2011ontobio,1,0,100,14,0,0,86,86,86,0,35,3,147,6,0,15,5,8,0,1,0,0,0,0,0,0,0,0,0,126,96,126,22,0,0,0,0,0,147,22,290,22,147,100,147,100,9,0,0,75,0,1,11,3,8,16,210,92,0,147,0,0,0,0,0,100,86,0,0,18,0,0,43,86,20,0,143,12,0,0,0,0,43,126,185,0,41,0,0,43,0,0,18,0,75
alkhalaf2024,0,0,252,0,0,0,244,244,244,0,10,28,148,27,0,0,9,22,0,0,1,53,0,0,0,0,0,0,0,86,58,86,24,0,0,0,2,0,148,24,526,24,148,252,148,252,26,0,0,244,0,16,50,16,0,5,189,225,0,148,0,0,17,0,0,252,252,50,0,0,0,0,126,252,45,0,148,8,0,5,0,0,126,86,270,0,24,0,0,126,0,0,6,0,244
alpinebits2022,17,0,133,59,0,0,78,78,78,0,5,2,78,11,0,0,3,1,0,13,0,1,0,4,0,0,0,0,0,59,27,59,10,1,0,0,10,0,78,10,248,10,78,133,78,133,9,22,22,52,0,12,6,0,0,0,262,127,0,78,0,0,5,3,0,133,129,12,0,2,0,0,37,74,10,0,90,0,8,5,0,0,37,59,112,0,22,0,0,37,0,0,11,0,52
amaral2019rot,1,0,91,1,0,3,90,90,90,0,14,10,48,5,0,0,0,0,0,1,1,0,0,0,8,0,8,0,0,35,12,35,5,1,0,0,0,0,48,5,184,5,48,91,48,91,1,0,0,90,0,1,5,0,0,2,118,87,0,48,0,0,0,0,0,91,91,11,0,4,0,0,45,90,9,0,75,3,8,4,4,0,45,35,78,0,8,0,0,45,0,1,0,0,90
amaral2020game-theory,1,0,40,0,0,1,40,40,40,0,1,4,22,0,0,0,0,2,0,1,0,0,0,0,22,0,1,0,0,13,4,13,2,2,0,0,0,0,22,2,82,2,22,40,22,40,0,0,0,40,0,0,1,0,0,3,56,36,0,22,1,1,0,0,0,40,40,2,0,0,0,0,20,40,2,0,22,0,1,2,6,0,20,13,34,0,0,0,0,20,0,1,0,0,40
