year,category,period,predicted,slope,intercept
2015,none (occurrence),2015-2018,-0.012886597938120303,0.20618556701030927,-415.4768041237113
2016,none (occurrence),2015-2018,0.19329896907220245,0.20618556701030927,-415.4768041237113
2017,none (occurrence),2015-2018,0.39948453608246837,0.20618556701030927,-415.4768041237113
2018,none (occurrence),2015-2018,0.6056701030927911,0.20618556701030927,-415.4768041237113
2015,none (model-wise),2015-2018,0.013679890560865715,0.08207934336525308,-165.3761969904241
2016,none (model-wise),2015-2018,0.09575923392611685,0.08207934336525308,-165.3761969904241
2017,none (model-wise),2015-2018,0.17783857729136798,0.08207934336525308,-165.3761969904241
2018,none (model-wise),2015-2018,0.2599179206566191,0.08207934336525308,-165.3761969904241
2019,none (occurrence),2019-2024,0.31541482572410473,-0.016200294550810027,33.02380952380955
2020,none (occurrence),2019-2024,0.2992145311732912,-0.016200294550810027,33.02380952380955
2021,none (occurrence),2019-2024,0.2830142366224848,-0.016200294550810027,33.02380952380955
2022,none (occurrence),2019-2024,0.2668139420716713,-0.016200294550810027,33.02380952380955
2023,none (occurrence),2019-2024,0.2506136475208649,-0.016200294550810027,33.02380952380955
2024,none (occurrence),2019-2024,0.2344133529700514,-0.016200294550810027,33.02380952380955
2019,none (model-wise),2019-2024,0.24754087681584025,-0.007817080320500283,16.030226043905913
2020,none (model-wise),2019-2024,0.23972379649534048,-0.007817080320500283,16.030226043905913
2021,none (model-wise),2019-2024,0.2319067161748407,-0.007817080320500283,16.030226043905913
2022,none (model-wise),2019-2024,0.22408963585434094,-0.007817080320500283,16.030226043905913
2023,none (model-wise),2019-2024,0.2162725555338394,-0.007817080320500283,16.030226043905913
2024,none (model-wise),2019-2024,0.20845547521333962,-0.007817080320500283,16.030226043905913
2015,other (occurrence),2015-2018,0.08505154639175316,0.13659793814432986,-275.15979381443293
2016,other (occurrence),2015-2018,0.22164948453604438,0.13659793814432986,-275.15979381443293
2017,other (occurrence),2015-2018,0.35824742268039245,0.13659793814432986,-275.15979381443293
2018,other (occurrence),2015-2018,0.4948453608247405,0.13659793814432986,-275.15979381443293
2015,other (model-wise),2015-2018,0.0,0.13679890560875507,-275.64979480164146
2016,other (model-wise),2015-2018,0.13679890560877084,0.13679890560875507,-275.64979480164146
2017,other (model-wise),2015-2018,0.2735978112175417,0.13679890560875507,-275.64979480164146
2018,other (model-wise),2015-2018,0.41039671682625567,0.13679890560875507,-275.64979480164146
2019,other (occurrence),2019-2024,0.3006872852233755,-0.05154639175257732,104.37285223367698
2020,other (occurrence),2019-2024,0.24914089347079482,-0.05154639175257732,104.37285223367698
2021,other (occurrence),2019-2024,0.19759450171822834,-0.05154639175257732,104.37285223367698
2022,other (occurrence),2019-2024,0.14604810996564765,-0.05154639175257732,104.37285223367698
2023,other (occurrence),2019-2024,0.09450171821306697,-0.05154639175257732,104.37285223367698
2024,other (occurrence),2019-2024,0.042955326460486276,-0.05154639175257732,104.37285223367698
2019,other (model-wise),2019-2024,0.332225913621258,-0.0508110220832519,102.91967949970685
2020,other (model-wise),2019-2024,0.2814148915380059,-0.0508110220832519,102.91967949970685
2021,other (model-wise),2019-2024,0.23060386945475386,-0.0508110220832519,102.91967949970685
2022,other (model-wise),2019-2024,0.1797928473715018,-0.0508110220832519,102.91967949970685
2023,other (model-wise),2019-2024,0.12898182528824975,-0.0508110220832519,102.91967949970685
2024,other (model-wise),2019-2024,0.0781708032049977,-0.0508110220832519,102.91967949970685
