year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type
2005,0.0000000,0.0006853,0.0000979,0.0001958,0.0000000,0.0000000,0.0000000,0.0000000,0.0008811,0.0001958,0.0003916,0.0003916,0.0000000,0.0000000,0.0000979,0.0002937,0.0006853,0.0000000,0.0000000,0.0002937,0.0000000
2007,0.0000000,0.0002937,0.0000000,0.0000979,0.0000000,0.0001958,0.0000000,0.0000000,0.0003916,0.0000000,0.0000979,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000979,0.0000000,0.0003916,0.0000000
2011,0.0000000,0.0003916,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0004895,0.0000000,0.0000000,0.0002937,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0002937,0.0000000
2012,0.0000000,0.0010768,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0037200,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0015663,0.0008811,0.0000000,0.0000000,0.0041116,0.0000000
2013,0.0000000,0.0000000,0.0008811,0.0002937,0.0000000,0.0000000,0.0000000,0.0000000,0.0010768,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0001958,0.0002937,0.0000000,0.0000000,0.0026432,0.0000000
2014,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0006853,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0004895,0.0004895,0.0000000,0.0000000,0.0000000,0.0000000
2015,0.0000000,0.0197748,0.0049927,0.0002937,0.0022516,0.0018600,0.0000000,0.0000000,0.0536466,0.0053842,0.0232012,0.0118453,0.0000000,0.0001958,0.0025453,0.0827215,0.1317670,0.0282917,0.0005874,0.0854626,0.0103769
2016,0.0000000,0.0040137,0.0003916,0.0000979,0.0000000,0.0006853,0.0000000,0.0000000,0.0008811,0.0008811,0.0021537,0.0000000,0.0000000,0.0006853,0.0002937,0.0018600,0.0013705,0.0008811,0.0000979,0.0040137,0.0008811
2017,0.0000000,0.0016642,0.0000000,0.0000000,0.0000000,0.0097895,0.0000000,0.0000000,0.0042095,0.0000979,0.0013705,0.0006853,0.0000000,0.0000000,0.0002937,0.0014684,0.0050906,0.0011747,0.0003916,0.0022516,0.0020558
2018,0.0000000,0.0026432,0.0004895,0.0000000,0.0001958,0.0025453,0.0000000,0.0000000,0.0033284,0.0000979,0.0017621,0.0001958,0.0000000,0.0003916,0.0000000,0.0029369,0.0008811,0.0030348,0.0005874,0.0042095,0.0002937
2019,0.0000000,0.0021537,0.0008811,0.0005874,0.0000000,0.0014684,0.0016642,0.0000000,0.0045032,0.0000979,0.0012726,0.0012726,0.0000000,0.0013705,0.0000979,0.0034263,0.0030348,0.0003916,0.0007832,0.0060695,0.0005874
2020,0.0000000,0.0030348,0.0002937,0.0007832,0.0000000,0.0013705,0.0001958,0.0000000,0.0220264,0.0002937,0.0016642,0.0022516,0.0002937,0.0019579,0.0002937,0.0032305,0.0057758,0.0058737,0.0015663,0.0086148,0.0003916
2021,0.0000979,0.0058737,0.0006853,0.0013705,0.0001958,0.0069506,0.0000000,0.0003916,0.0186001,0.0001958,0.0067548,0.0030348,0.0006853,0.0032305,0.0002937,0.0042095,0.0081253,0.0015663,0.0012726,0.0257465,0.0011747
2022,0.0000000,0.0078316,0.0021537,0.0028390,0.0015663,0.0129222,0.0002937,0.0004895,0.0110622,0.0000979,0.0021537,0.0052863,0.0006853,0.0015663,0.0003916,0.0068527,0.0084190,0.0089085,0.0007832,0.0174254,0.0036221
2023,0.0000000,0.0063632,0.0016642,0.0016642,0.0019579,0.0039158,0.0000000,0.0000000,0.0225159,0.0005874,0.0114537,0.0046990,0.0002937,0.0105727,0.0000000,0.0057758,0.0113558,0.0026432,0.0012726,0.0280959,0.0010768
2024,0.0000000,0.0011747,0.0003916,0.0003916,0.0000000,0.0046990,0.0000979,0.0000000,0.0072442,0.0002937,0.0008811,0.0025453,0.0000000,0.0046011,0.0000000,0.0070485,0.0024474,0.0035242,0.0003916,0.0084190,0.0003916
