Percentage,Top k Stereotypes,Coverage
10.0,2,0.5706418131751747
20.0,4,0.7328955729718281
30.0,6,0.8296970980724423
40.0,8,0.897691167125609
50.0,10,0.9298877356492269
60.0,12,0.95721245498835
70.0,14,0.9743698368989621
80.0,16,0.9879262868036432
90.0,18,0.9949163312857445
100.0,21,1.0
