Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,30,0.28846153846153844,12,0.11538461538461539,0.006354585892819318,0.022684310018903593
characterization,420,4.038461538461538,61,0.5865384615384616,0.08896420249947046,0.11531190926275993
comparative,37,0.3557692307692308,6,0.057692307692307696,0.007837322601143825,0.011342155009451797
componentOf,240,2.3076923076923075,35,0.33653846153846156,0.05083668714255454,0.0661625708884688
creation,60,0.5769230769230769,18,0.17307692307692307,0.012709171785638636,0.034026465028355386
derivation,110,1.0576923076923077,31,0.2980769230769231,0.023300148273670832,0.05860113421550094
externalDependence,75,0.7211538461538461,21,0.20192307692307693,0.015886464732048296,0.03969754253308128
historicalDependence,44,0.4230769230769231,16,0.15384615384615385,0.009320059309468333,0.030245746691871456
instantiation,69,0.6634615384615384,17,0.16346153846153846,0.014615547553484431,0.03213610586011342
manifestation,34,0.3269230769230769,12,0.11538461538461539,0.007201864011861894,0.022684310018903593
material,346,3.326923076923077,44,0.4230769230769231,0.0732895572971828,0.0831758034026465
mediation,677,6.509615384615385,66,0.6346153846153846,0.14340182164795595,0.12476370510396975
memberOf,77,0.7403846153846154,23,0.22115384615384615,0.016310103791569584,0.043478260869565216
participation,211,2.0288461538461537,29,0.27884615384615385,0.04469392077949587,0.054820415879017016
participational,17,0.16346153846153846,4,0.038461538461538464,0.003600932005930947,0.007561436672967864
subCollectionOf,8,0.07692307692307693,2,0.019230769230769232,0.0016945562380851515,0.003780718336483932
subQuantityOf,11,0.10576923076923077,2,0.019230769230769232,0.0023300148273670833,0.003780718336483932
termination,5,0.04807692307692308,3,0.028846153846153848,0.0010590976488032196,0.005671077504725898
triggers,16,0.15384615384615385,10,0.09615384615384616,0.003389112476170303,0.01890359168241966
other,217,2.0865384615384617,25,0.2403846153846154,0.04596483795805973,0.04725897920604915
none,2017,19.39423076923077,92,0.8846153846153846,0.4272399915272188,0.17391304347826086
