Stereotype,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,25th Percentile (Q1),75th Percentile (Q3),Interquartile Range (IQR)
bringsAbout,0.28846153846153844,0.0,0,0.8665642114044005,0.7509335324869305,3.0511154809131824,8.430634362244893,0.0,0.0,0.0
characterization,4.038461538461538,1.5,0,5.921694648752961,35.066467513069455,2.0099808431062174,3.9179415227860703,0.0,5.25,5.25
comparative,0.3557692307692308,0.0,0,1.88976943798782,3.571228528752801,6.230538345486545,41.3225987631718,0.0,0.0,0.0
componentOf,2.3076923076923075,0.0,0,5.400605724885719,29.166542195668406,3.4979289895764962,13.521493768957958,0.0,2.0,2.0
creation,0.5769230769230769,0.0,0,1.6991848856374605,2.88722927557879,4.102805499567868,19.34236320233935,0.0,0.0,0.0
derivation,1.0576923076923077,0.0,0,3.369846077199658,11.355862584017924,6.666626433571716,53.91345084117889,0.0,1.0,1.0
externalDependence,0.7211538461538461,0.0,0,1.856276316314286,3.445761762509335,3.250267786716842,11.707108778809072,0.0,0.0,0.0
historicalDependence,0.4230769230769231,0.0,0,1.274791494029001,1.6250933532486929,3.744675751452065,14.7605746045057,0.0,0.0,0.0
instantiation,0.6634615384615384,0.0,0,1.867507434502959,3.4875840179238233,3.3036679483196183,11.117746462509379,0.0,0.0,0.0
manifestation,0.3269230769230769,0.0,0,1.2183253482627563,1.4843166542195663,5.684336962188365,39.691606811425615,0.0,0.0,0.0
material,3.326923076923077,0.0,0,7.478697653734047,55.930918595967135,3.8425468561275173,18.3881956585627,0.0,3.0,3.0
mediation,6.509615384615385,2.0,0,10.242681680398674,104.9125280059746,2.7935687248932153,9.783524090721711,0.0,9.25,9.25
memberOf,0.7403846153846154,0.0,0,2.181097934561712,4.757188200149366,4.713425878183567,26.521834355754493,0.0,0.0,0.0
participation,2.0288461538461537,0.0,0,6.265108698596361,39.25158700522778,5.765720614435563,39.703595768796745,0.0,1.0,1.0
participational,0.16346153846153846,0.0,0,1.0438035090459503,1.0895257654966393,6.976714108624026,48.553046665287454,0.0,0.0,0.0
subCollectionOf,0.07692307692307693,0.0,0,0.5693175559055642,0.3241224794622853,7.738264713986475,61.605544819384605,0.0,0.0,0.0
subQuantityOf,0.10576923076923077,0.0,0,0.9845236316005754,0.9692867811799857,10.053795217701978,101.89311774522639,0.0,0.0,0.0
termination,0.04807692307692308,0.0,0,0.2916244323772833,0.08504480955937267,6.276476381034909,39.38913873942784,0.0,0.0,0.0
triggers,0.15384615384615385,0.0,0,0.5170722427832577,0.26736370425690814,3.6454904552308713,13.423600834886917,0.0,0.0,0.0
other,2.0865384615384617,0.0,0,6.516760433082965,42.468166542195675,4.2491297982201655,19.58813514615803,0.0,0.0,0.0
none,19.39423076923077,13.0,0,23.14136307220109,535.5226848394324,2.66257151882714,10.65871308407415,4.0,28.25,24.25
