stereotype,total_correlation,rank
characterization,1.926078062061776,4
componentOf,1.1877717494577185,8
derivation,2.1223454934816366,1
material,1.61676274072172,5
mediation,1.9998899622446555,2
memberOf,1.4360068696036046,7
none,1.607313121350514,6
other,1.9628153470151781,3
