year,num_models,ratio
2005,1,0.008928571428571428
2007,1,0.008928571428571428
2011,1,0.008928571428571428
2012,2,0.017857142857142856
2013,2,0.017857142857142856
2014,2,0.017857142857142856
2015,8,0.07142857142857142
2016,4,0.03571428571428571
2017,8,0.07142857142857142
2018,10,0.08928571428571429
2019,7,0.0625
2020,16,0.14285714285714285
2021,16,0.14285714285714285
2022,15,0.13392857142857142
2023,13,0.11607142857142858
2024,6,0.05357142857142857
