year,num_models,ratio
2005,1,0.009708737864077669
2007,1,0.009708737864077669
2011,1,0.009708737864077669
2012,2,0.019417475728155338
2013,2,0.019417475728155338
2014,2,0.019417475728155338
2015,3,0.02912621359223301
2016,3,0.02912621359223301
2017,7,0.06796116504854369
2018,10,0.0970873786407767
2019,7,0.06796116504854369
2020,15,0.14563106796116504
2021,16,0.1553398058252427
2022,15,0.14563106796116504
2023,13,0.1262135922330097
2024,5,0.04854368932038835
