model,total_classes,stereotyped_classes,non_stereotyped_classes,ontouml_classes,non_ontouml_classes,total_relations,stereotyped_relations,non_stereotyped_relations,ontouml_relations,non_ontouml_relations,unique_class_stereotypes,unique_relation_stereotypes,ratio_classes_relations,ratio_stereotyped_classes_relations,ratio_stereotyped_classes_total,ratio_non_stereotyped_classes_total,ratio_stereotyped_relations_total,ratio_non_stereotyped_relations_total,ratio_ontouml_classes_total,ratio_non_ontouml_classes_total,ratio_ontouml_relations_total,ratio_non_ontouml_relations_total
abel2015petroleum-system,29,29,0,29,0,21,12,9,3,18,9,1,1.380952380952381,2.4166666666666665,1.0,0.0,0.5714285714285714,0.42857142857142855,1.0,0.0,0.14285714285714285,0.8571428571428571
abrahao2018agriculture-operations,22,22,0,20,2,53,24,29,23,30,4,5,0.41509433962264153,0.9166666666666666,1.0,0.0,0.4528301886792453,0.5471698113207547,0.9090909090909091,0.09090909090909091,0.4339622641509434,0.5660377358490566
aguiar2018rdbs-o,43,43,0,43,0,31,2,29,2,29,6,1,1.3870967741935485,21.5,1.0,0.0,0.06451612903225806,0.9354838709677419,1.0,0.0,0.06451612903225806,0.9354838709677419
aguiar2019ooco,56,56,0,56,0,31,17,14,17,14,6,2,1.8064516129032258,3.2941176470588234,1.0,0.0,0.5483870967741935,0.45161290322580644,1.0,0.0,0.5483870967741935,0.45161290322580644
aires2022valuenetworks-geo,22,22,0,20,2,53,24,29,23,30,4,5,0.41509433962264153,0.9166666666666666,1.0,0.0,0.4528301886792453,0.5471698113207547,0.9090909090909091,0.09090909090909091,0.4339622641509434,0.5660377358490566
alpinebits2022,78,78,0,78,0,37,34,3,34,3,12,6,2.108108108108108,2.2941176470588234,1.0,0.0,0.918918918918919,0.08108108108108109,1.0,0.0,0.918918918918919,0.08108108108108109
amaral2019rot,48,48,0,48,0,45,30,15,30,15,11,8,1.0666666666666667,1.6,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,0.3333333333333333
amaral2020game-theory,22,22,0,22,0,20,12,8,12,8,8,8,1.1,1.8333333333333333,1.0,0.0,0.6,0.4,1.0,0.0,0.6,0.4
amaral2020rome,48,48,0,48,0,58,38,20,38,20,10,5,0.8275862068965517,1.263157894736842,1.0,0.0,0.6551724137931034,0.3448275862068966,1.0,0.0,0.6551724137931034,0.3448275862068966
amaral2022ethical-requirements,24,24,0,24,0,17,3,14,3,14,5,2,1.411764705882353,8.0,1.0,0.0,0.17647058823529413,0.8235294117647058,1.0,0.0,0.17647058823529413,0.8235294117647058
andersson2018value-ascription,13,13,0,6,7,17,3,14,3,14,3,1,0.7647058823529411,4.333333333333333,1.0,0.0,0.17647058823529413,0.8235294117647058,0.46153846153846156,0.5384615384615384,0.17647058823529413,0.8235294117647058
andrade2023integracao,44,43,1,43,1,28,28,0,28,0,9,4,1.5714285714285714,1.5357142857142858,0.9772727272727273,0.022727272727272728,1.0,0.0,0.9772727272727273,0.022727272727272728,1.0,0.0
barcelos2013normative-acts,45,45,0,45,0,18,18,0,18,0,4,3,2.5,2.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
barcelos2024resiliont,56,56,0,56,0,80,67,13,57,23,6,8,0.7,0.835820895522388,1.0,0.0,0.8375,0.1625,1.0,0.0,0.7125,0.2875
barros2020programming,12,12,0,12,0,0,0,0,0,0,2,0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A
bernasconi2021ontovcm,76,76,0,76,0,67,62,5,61,6,12,9,1.1343283582089552,1.2258064516129032,1.0,0.0,0.9253731343283582,0.07462686567164178,1.0,0.0,0.9104477611940298,0.08955223880597014
bernasconi2023fair-principles,46,46,0,46,0,29,29,0,29,0,8,5,1.5862068965517242,1.5862068965517242,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
brazilian-governmental-organizational-structures,15,15,0,15,0,7,7,0,2,5,4,1,2.142857142857143,2.142857142857143,1.0,0.0,1.0,0.0,1.0,0.0,0.2857142857142857,0.7142857142857143
buchtela2020connection,19,19,0,19,0,13,0,13,0,13,3,0,1.4615384615384615,N/A,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
buridan-ontology2021,54,54,0,54,0,53,35,18,35,18,7,4,1.0188679245283019,1.542857142857143,1.0,0.0,0.660377358490566,0.33962264150943394,1.0,0.0,0.660377358490566,0.33962264150943394
carolla2014campus-management,17,17,0,17,0,23,13,10,13,10,3,3,0.7391304347826086,1.3076923076923077,1.0,0.0,0.5652173913043478,0.43478260869565216,1.0,0.0,0.5652173913043478,0.43478260869565216
castro2012cloudvulnerability,32,32,0,32,0,27,26,1,21,6,5,3,1.1851851851851851,1.2307692307692308,1.0,0.0,0.9629629629629629,0.037037037037037035,1.0,0.0,0.7777777777777778,0.2222222222222222
cgts2021sebim,29,29,0,29,0,11,3,8,3,8,7,2,2.6363636363636362,9.666666666666666,1.0,0.0,0.2727272727272727,0.7272727272727273,1.0,0.0,0.2727272727272727,0.7272727272727273
cmpo2017,55,53,2,53,2,66,6,60,6,60,9,1,0.8333333333333334,8.833333333333334,0.9636363636363636,0.03636363636363636,0.09090909090909091,0.9090909090909091,0.9636363636363636,0.03636363636363636,0.09090909090909091,0.9090909090909091
core-o2023,30,30,0,30,0,47,19,28,19,28,7,8,0.6382978723404256,1.5789473684210527,1.0,0.0,0.40425531914893614,0.5957446808510638,1.0,0.0,0.40425531914893614,0.5957446808510638
dcat-mlt-ufo2023,30,24,6,24,6,31,9,22,9,22,10,2,0.967741935483871,2.6666666666666665,0.8,0.2,0.2903225806451613,0.7096774193548387,0.8,0.2,0.2903225806451613,0.7096774193548387
demori2023miscon,31,31,0,31,0,27,13,14,13,14,7,4,1.1481481481481481,2.3846153846153846,1.0,0.0,0.48148148148148145,0.5185185185185185,1.0,0.0,0.48148148148148145,0.5185185185185185
dpo2017,40,40,0,40,0,51,7,44,7,44,6,2,0.7843137254901961,5.714285714285714,1.0,0.0,0.13725490196078433,0.8627450980392157,1.0,0.0,0.13725490196078433,0.8627450980392157
duarte2020jogabilidade,19,19,0,19,0,21,15,6,11,10,7,6,0.9047619047619048,1.2666666666666666,1.0,0.0,0.7142857142857143,0.2857142857142857,1.0,0.0,0.5238095238095238,0.47619047619047616
elghosh2020cargos,10,10,0,10,0,15,10,5,9,6,7,5,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6,0.4
