year,num_class,ontouml_class,none_class,other_class,num_relation,ontouml_relation,none_relation,other_relation,ratio_class,cumulative_class,cumulative_ratio_class,ratio_ontouml_class,cumulative_ontouml_class,cumulative_ratio_ontouml_class,ratio_none_class,cumulative_none_class,cumulative_ratio_none_class,ratio_other_class,cumulative_other_class,cumulative_ratio_other_class,ratio_relation,cumulative_relation,cumulative_ratio_relation,ratio_ontouml_relation,cumulative_ontouml_relation,cumulative_ratio_ontouml_relation,ratio_none_relation,cumulative_none_relation,cumulative_ratio_none_relation,ratio_other_relation,cumulative_other_relation,cumulative_ratio_other_relation,ratio_ontouml_to_total_class,ratio_none_to_total_class,ratio_other_to_total_class,ratio_ontouml_to_total_relation,ratio_none_to_total_relation,ratio_other_to_total_relation,cumulative_ratio_ontouml_to_total_class,cumulative_ratio_none_to_total_class,cumulative_ratio_other_to_total_class,cumulative_ratio_ontouml_to_total_relation,cumulative_ratio_none_to_total_relation,cumulative_ratio_other_to_total_relation
2005,43,43,0,0,25,16,4,5,0.010787757150025088,43,0.010787757150025088,0.011577813677975229,43,0.011577813677975229,0.0,0,0.0,0.0,0,0.0,0.007098239636570131,25,0.007098239636570131,0.009174311926605505,16,0.009174311926605505,0.002544529262086514,4,0.002544529262086514,0.024271844660194174,5,0.024271844660194174,0.010787757150025088,0.0,0.0,0.004542873367404884,0.001135718341851221,0.0014196479273140261,0.010787757150025088,0.0,0.0,0.004542873367404884,0.001135718341851221,0.0014196479273140261
2007,20,16,0,4,20,0,20,0,0.005017561465127948,63,0.015805318615153035,0.004308023694130318,59,0.015885837372105548,0.0,0,0.0,0.042105263157894736,4,0.042105263157894736,0.0056785917092561046,45,0.012776831345826235,0.0,16,0.009174311926605505,0.01272264631043257,24,0.015267175572519083,0.0,5,0.024271844660194174,0.004014049172102358,0.0,0.0010035122930255895,0.0,0.0056785917092561046,0.0,0.014801806322127445,0.0,0.0010035122930255895,0.004542873367404884,0.0068143100511073255,0.0014196479273140261
2011,15,15,0,0,7,2,0,5,0.003763171098845961,78,0.019568489713998997,0.004038772213247173,74,0.01992460958535272,0.0,0,0.0,0.0,4,0.042105263157894736,0.0019875070982396364,52,0.014764338444065871,0.0011467889908256881,18,0.010321100917431193,0.0,24,0.015267175572519083,0.024271844660194174,10,0.04854368932038835,0.003763171098845961,0.0,0.0,0.0005678591709256105,0.0,0.0014196479273140261,0.018564977420973405,0.0,0.0010035122930255895,0.005110732538330494,0.0068143100511073255,0.0028392958546280523
2012,116,116,0,0,60,27,28,5,0.029101856497742096,194,0.04867034621174109,0.031233171782444804,190,0.05115778136779752,0.0,0,0.0,0.0,4,0.042105263157894736,0.017035775127768313,112,0.03180011357183418,0.01548165137614679,45,0.025802752293577983,0.017811704834605598,52,0.03307888040712468,0.024271844660194174,15,0.07281553398058252,0.029101856497742096,0.0,0.0,0.007666098807495741,0.007950028392958546,0.0014196479273140261,0.047666833918715505,0.0,0.0010035122930255895,0.012776831345826235,0.014764338444065871,0.004258943781942078
2013,55,55,0,0,33,30,0,3,0.013798294029101857,249,0.06246864024084295,0.014808831448572967,245,0.06596661281637049,0.0,0,0.0,0.0,4,0.042105263157894736,0.009369676320272573,145,0.041169789892106755,0.017201834862385322,75,0.0430045871559633,0.0,52,0.03307888040712468,0.014563106796116505,18,0.08737864077669903,0.013798294029101857,0.0,0.0,0.008517887563884156,0.0,0.0008517887563884157,0.06146512794781736,0.0,0.0010035122930255895,0.02129471890971039,0.014764338444065871,0.005110732538330494
2014,30,17,7,6,26,13,13,0,0.007526342197691922,279,0.06999498243853487,0.0045772751750134625,262,0.07054388799138395,0.03954802259887006,7,0.03954802259887006,0.06315789473684211,10,0.10526315789473684,0.0073821692220329355,171,0.048551959114139696,0.007454128440366973,88,0.05045871559633028,0.00826972010178117,65,0.041348600508905854,0.0,18,0.08737864077669903,0.004264927245358756,0.0017561465127947818,0.0015052684395383843,0.0036910846110164677,0.0036910846110164677,0.0,0.06573005519317611,0.0017561465127947818,0.002508780732563974,0.02498580352072686,0.01845542305508234,0.005110732538330494
2015,104,104,0,0,66,37,20,9,0.02609131961866533,383,0.0960863020572002,0.028002154011847066,366,0.09854604200323101,0.0,7,0.03954802259887006,0.0,10,0.10526315789473684,0.018739352640545145,237,0.06729131175468483,0.02121559633027523,125,0.0716743119266055,0.01272264631043257,85,0.05407124681933842,0.043689320388349516,27,0.13106796116504854,0.02609131961866533,0.0,0.0,0.010505394662123793,0.0056785917092561046,0.002555366269165247,0.09182137481184144,0.0017561465127947818,0.002508780732563974,0.03549119818285065,0.024134014764338445,0.007666098807495741
2016,57,49,0,8,100,39,27,34,0.014300050175614651,440,0.11038635223281486,0.013193322563274098,415,0.11173936456650511,0.0,7,0.03954802259887006,0.08421052631578947,18,0.18947368421052632,0.028392958546280524,337,0.09568427030096537,0.02236238532110092,164,0.09403669724770643,0.01717557251908397,112,0.07124681933842239,0.1650485436893204,61,0.2961165048543689,0.012293025589563472,0.0,0.002007024586051179,0.011073253833049404,0.007666098807495741,0.009653605905735378,0.10411440040140492,0.0017561465127947818,0.004515805318615153,0.04656445201590006,0.03180011357183418,0.017319704713231118
2017,291,237,29,25,286,38,228,20,0.07300551931761164,731,0.1833918715504265,0.06381260096930533,652,0.17555196553581046,0.1638418079096045,36,0.2033898305084746,0.2631578947368421,43,0.45263157894736844,0.08120386144236229,623,0.17688813174332765,0.021788990825688075,202,0.1158256880733945,0.1450381679389313,340,0.21628498727735368,0.0970873786407767,81,0.3932038834951456,0.059458103361766185,0.007275464124435524,0.006271951831409934,0.010789324247586598,0.06473594548551959,0.0056785917092561046,0.1635725037631711,0.009031610637230306,0.010787757150025088,0.05735377626348666,0.09653605905735378,0.022998296422487224
2018,270,241,17,12,276,96,178,2,0.0677370797792273,1001,0.2511289513296538,0.06488960689283792,893,0.24044157242864836,0.096045197740113,53,0.2994350282485876,0.12631578947368421,55,0.5789473684210527,0.07836456558773425,899,0.2552526973310619,0.05504587155963303,298,0.17087155963302753,0.11323155216284987,518,0.32951653944020354,0.009708737864077669,83,0.4029126213592233,0.06046161565479177,0.004264927245358756,0.0030105368790767687,0.027257240204429302,0.05053946621237933,0.0005678591709256105,0.22403411941796286,0.013296537882589061,0.013798294029101857,0.08461101646791595,0.1470755252697331,0.023566155593412835
