Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.010869565217391304,1,0.010869565217391304,0.00021308331557639036,0.001488095238095238
category,297,3.2282608695652173,66,0.717391304347826,0.06328574472618793,0.09821428571428571
collective,67,0.7282608695652174,26,0.2826086956521739,0.014276582143618155,0.03869047619047619
datatype,78,0.8478260869565217,20,0.21739130434782608,0.01662049861495845,0.02976190476190476
enumeration,40,0.43478260869565216,5,0.05434782608695652,0.008523332623055616,0.00744047619047619
event,346,3.760869565217391,41,0.44565217391304346,0.07372682718943106,0.06101190476190476
historicalRole,23,0.25,4,0.043478260869565216,0.004900916258256978,0.005952380952380952
historicalRoleMixin,9,0.09782608695652174,3,0.03260869565217391,0.0019177498401875134,0.004464285714285714
kind,912,9.91304347826087,77,0.8369565217391305,0.19433198380566802,0.11458333333333333
mixin,17,0.18478260869565216,14,0.15217391304347827,0.0036224163647986364,0.020833333333333332
mode,265,2.880434782608696,46,0.5,0.056467078627743444,0.06845238095238096
phase,197,2.141304347826087,33,0.358695652173913,0.0419774131685489,0.049107142857142856
phaseMixin,20,0.21739130434782608,8,0.08695652173913043,0.004261666311527808,0.011904761904761904
quality,242,2.630434782608696,42,0.45652173913043476,0.05156616236948647,0.0625
quantity,11,0.11956521739130435,7,0.07608695652173914,0.002343916471340294,0.010416666666666666
relator,342,3.717391304347826,71,0.7717391304347826,0.0728744939271255,0.1056547619047619
role,409,4.445652173913044,62,0.6739130434782609,0.08715107607074365,0.09226190476190477
roleMixin,265,2.880434782608696,40,0.43478260869565216,0.056467078627743444,0.05952380952380952
situation,68,0.7391304347826086,17,0.18478260869565216,0.014489665459194546,0.025297619047619048
subkind,1007,10.945652173913043,69,0.75,0.2145748987854251,0.10267857142857142
type,77,0.8369565217391305,20,0.21739130434782608,0.01640741529938206,0.02976190476190476
