Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,participation,none_r,other_r
category,1.0,0.16165344223858152,0.07346974152433425,0.045672355471773514,0.25327566630925386,0.12914876498496883,0.2426715895682852,0.1050559050325501,0.12133298122579549,0.20886953595723415,0.09116116006251108,0.27859971865986843,0.06746611755065174,0.3345081119400613,0.31742119798534046,0.12470363930605625,0.12907394107665332,0.22731525921388554,0.025810143229465052,0.14186971803702483,0.0877066659335949,0.11434134603599057,0.16167427982106597
datatype,0.16165344223858152,1.0,0.0989153879313826,0.04230030711908398,0.0700854462706013,0.02351732591091042,0.14197672662647096,0.08412648228335474,0.09783415712467435,0.06070877039520269,0.018050348128687308,0.10304895467587634,0.1243001957368171,0.06283527192423873,0.143155350019868,0.049322453300200145,0.03085991804892322,0.07069274233034106,0.023458097408926255,0.023198179405121103,0.11177434046527192,0.07410835429741704,0.07140461340904994
event,0.07346974152433425,0.0989153879313826,1.0,0.23210703578452171,0.16340526676365483,0.01935014287299837,0.13051256649806028,0.0324719771886178,0.15094405008297004,0.23936045335990858,0.0695482691887235,0.3574862736435552,0.029702747327747952,0.20572100113372893,0.023644716538302597,0.018953377337596715,0.3211599684388174,0.3661743324526668,0.014136333759477707,0.09006116197392011,0.7109345423499212,0.12839623595599292,0.23305557103883365
kind,0.045672355471773514,0.04230030711908398,0.23210703578452171,1.0,0.005093414289228367,0.27801897208606785,0.13274396868505217,0.3198347201408041,0.36486157588724916,0.19388805265455183,0.49538432054231424,0.3221371066123833,0.062023764591431926,0.07364928775619588,0.1915689195385458,0.14945998324192755,0.290654425791045,0.2597854990788822,0.2528353825652988,0.2705073707692343,0.3268785899987408,0.06540694590007098,0.06881167193590541
mode,0.25327566630925386,0.0700854462706013,0.16340526676365483,0.005093414289228367,1.0,0.04139581357848134,0.2664606336166621,0.10524915683717344,0.10206202433807007,0.10870340990054114,0.10954641986767699,0.2369444470242568,0.05645576770029767,0.5863729806717491,0.21568333793453906,0.03611682822910144,0.37414183809312124,0.1874248169270182,0.12804179464892657,0.1690839369092476,0.043860499319971415,0.010544558362048853,0.0067686220817749585
phase,0.12914876498496883,0.02351732591091042,0.01935014287299837,0.27801897208606785,0.04139581357848134,1.0,0.039628855281750835,0.11289525991344325,0.2617513003781287,0.05816966150595783,0.30339892725375095,0.12069214429395875,0.0832266039426059,0.06571597776969897,0.1589087981877273,0.02920185526756833,0.16337197198925,0.07153442042040853,0.09945478883811877,0.21034743095959635,0.13532047280018508,0.06954004771283366,0.010142143649757771
quality,0.2426715895682852,0.14197672662647096,0.13051256649806028,0.13274396868505217,0.2664606336166621,0.039628855281750835,1.0,0.18845916128915857,0.04148343500931701,0.035757561879804896,0.24670824324169083,0.1663611663016366,0.22384061224489815,0.5620497790163004,0.10318181971242672,0.13039851679619996,0.09030469363092153,0.18054472814131145,0.08629134266419859,0.07964488904500176,0.16091088770058204,0.11083058006923045,0.10176932418647507
relator,0.1050559050325501,0.08412648228335474,0.0324719771886178,0.3198347201408041,0.10524915683717344,0.11289525991344325,0.18845916128915857,1.0,0.215815611522491,0.11011201534746166,0.3096514763992352,0.006809563830727307,0.1467351578041964,0.16897472127846658,0.22329239447557983,0.20773082668706333,0.0,0.06557031615726992,0.25206447333912485,0.7350733607280002,0.0800288550879069,0.12050510440390703,0.07464255543088409
role,0.12133298122579549,0.09783415712467435,0.15094405008297004,0.36486157588724916,0.10206202433807007,0.2617513003781287,0.04148343500931701,0.215815611522491,1.0,0.023983057800470216,0.05634195659700169,0.2193026589843384,0.031182911044694152,0.014597918566721008,0.012453120905415541,0.19188807038790853,0.036317086278636924,0.2392266400746291,0.007925148344789522,0.2716657037971721,0.3434092418380596,0.10831262734253239,0.067836052244871
roleMixin,0.20886953595723415,0.06070877039520269,0.23936045335990858,0.19388805265455183,0.10870340990054114,0.05816966150595783,0.035757561879804896,0.11011201534746166,0.023983057800470216,1.0,0.13082243500442456,0.3397788541574215,0.1052657359372093,0.160206193072973,0.07860780799349004,0.05558101881550901,0.37879158815486275,0.3522436240151499,0.014602431699381968,0.1523306912292252,0.2019434117532217,0.041574664548659386,0.08319714424379306
