Stereotype,average_quantity,rank,proportion
bringsAbout,0,7,0.0
characterization,1,5,0.02857142857142857
comparative,0,7,0.0
componentOf,1,5,0.02857142857142857
creation,0,7,0.0
derivation,2,4,0.05714285714285714
externalDependence,0,7,0.0
historicalDependence,0,7,0.0
instantiation,0,7,0.0
manifestation,0,7,0.0
material,4,2,0.11428571428571428
mediation,0,7,0.0
memberOf,0,7,0.0
participation,0,7,0.0
participational,0,7,0.0
subCollectionOf,0,7,0.0
subQuantityOf,0,7,0.0
termination,0,7,0.0
triggers,0,7,0.0
none,24,1,0.6857142857142857
other,3,3,0.08571428571428572
