Stereotype,DistanceFromOrigin,Rank
mediation,1326.7881129967725,1
componentOf,318.18900447433913,2
material,298.1771174004813,3
characterization,158.09390788347667,4
memberOf,130.07726598007574,5
derivation,113.0671619672966,6
subCollectionOf,19.011292720164914,7
comparative,15.008915305393353,8
externalDependence,8.004754829543122,9
participation,4.002377414771561,10
subQuantityOf,3.0017830610786707,11
bringsAbout,0.0,12
historicalDependence,0.0,12
manifestation,0.0,12
instantiation,0.0,12
creation,0.0,12
participational,0.0,12
termination,0.0,12
triggers,0.0,12
