Stereotype,x_value,y_value,quadrant
bringsAbout,0,0.0,Q3
characterization,11,0.3793103448275862,Q1
comparative,1,0.0344827586206896,Q1
componentOf,13,0.4482758620689655,Q1
creation,0,0.0,Q3
derivation,9,0.3103448275862069,Q1
externalDependence,2,0.0689655172413793,Q1
historicalDependence,0,0.0,Q3
instantiation,0,0.0,Q3
manifestation,0,0.0,Q3
material,16,0.5517241379310345,Q1
mediation,15,0.5172413793103449,Q1
memberOf,10,0.3448275862068966,Q1
participation,1,0.0344827586206896,Q1
participational,0,0.0,Q3
subCollectionOf,4,0.1379310344827586,Q1
subQuantityOf,2,0.0689655172413793,Q1
termination,0,0.0,Q3
triggers,0,0.0,Q3
