Stereotype,x_value,y_value,quadrant
bringsAbout,0.0,0.0,Q3
characterization,0.3793103448275862,0.1309523809523809,Q1
comparative,0.0344827586206896,0.0119047619047619,Q1
componentOf,0.4482758620689655,0.1547619047619047,Q1
creation,0.0,0.0,Q3
derivation,0.3103448275862069,0.1071428571428571,Q1
externalDependence,0.0689655172413793,0.0238095238095238,Q1
historicalDependence,0.0,0.0,Q3
instantiation,0.0,0.0,Q3
manifestation,0.0,0.0,Q3
material,0.5517241379310345,0.1904761904761904,Q1
mediation,0.5172413793103449,0.1785714285714285,Q1
memberOf,0.3448275862068966,0.119047619047619,Q1
participation,0.0344827586206896,0.0119047619047619,Q1
participational,0.0,0.0,Q3
subCollectionOf,0.1379310344827586,0.0476190476190476,Q1
subQuantityOf,0.0689655172413793,0.0238095238095238,Q1
termination,0.0,0.0,Q3
triggers,0.0,0.0,Q3
