Stereotype,x_value,y_value,quadrant
bringsAbout,0,0.0,Q3
characterization,11,0.1309523809523809,Q1
comparative,1,0.0119047619047619,Q1
componentOf,13,0.1547619047619047,Q1
creation,0,0.0,Q3
derivation,9,0.1071428571428571,Q1
externalDependence,2,0.0238095238095238,Q1
historicalDependence,0,0.0,Q3
instantiation,0,0.0,Q3
manifestation,0,0.0,Q3
material,16,0.1904761904761904,Q1
mediation,15,0.1785714285714285,Q1
memberOf,10,0.119047619047619,Q1
participation,1,0.0119047619047619,Q1
participational,0,0.0,Q3
subCollectionOf,4,0.0476190476190476,Q1
subQuantityOf,2,0.0238095238095238,Q1
termination,0,0.0,Q3
triggers,0,0.0,Q3
