Stereotype,category,collective,datatype,kind,mode,phase,relator,role,roleMixin,subkind
category,1.0,0.07778722876081372,0.09428740513549239,0.1615858167346793,0.04843140656412319,0.25093108508302286,0.026994603597657634,0.19990215704414824,0.052775142557045206,0.1326955106270726
collective,0.07778722876081372,1.0,0.09619564959485205,0.14514086322713543,0.026029723397577004,0.026837557545222844,0.151949946539953,0.09197673817053684,0.07962017762507065,0.11111158973754615
datatype,0.09428740513549239,0.09619564959485205,1.0,0.04767143924523119,0.06275785616948079,0.3459840828249113,0.054686221731845,0.10494132832562132,0.178761427046058,0.11417357133926859
kind,0.1615858167346793,0.14514086322713543,0.04767143924523119,1.0,0.0699841104672947,0.13385562943395604,0.020100720045196842,0.06600272217734231,0.052047995860243515,0.3312586505638275
mode,0.04843140656412319,0.026029723397577004,0.06275785616948079,0.0699841104672947,1.0,0.0620954228288923,0.34011853213742005,0.24492768120422345,0.06857533967159316,0.32537443025811763
phase,0.25093108508302286,0.026837557545222844,0.3459840828249113,0.13385562943395604,0.0620954228288923,1.0,0.13723028582358804,0.12107343480535755,0.22368797724494988,0.25337630940154743
relator,0.026994603597657634,0.151949946539953,0.054686221731845,0.020100720045196842,0.34011853213742005,0.13723028582358804,1.0,0.5589484192387889,0.2040522934545036,0.18149910491329593
role,0.19990215704414824,0.09197673817053684,0.10494132832562132,0.06600272217734231,0.24492768120422345,0.12107343480535755,0.5589484192387889,1.0,0.11429518473100177,0.1118404315768535
roleMixin,0.052775142557045206,0.07962017762507065,0.178761427046058,0.052047995860243515,0.06857533967159316,0.22368797724494988,0.2040522934545036,0.11429518473100177,1.0,0.017494388812082075
subkind,0.1326955106270726,0.11111158973754615,0.11417357133926859,0.3312586505638275,0.32537443025811763,0.25337630940154743,0.18149910491329593,0.1118404315768535,0.017494388812082075,1.0
