Stereotype,category,collective,datatype,kind,mode,phase,relator,role,roleMixin,subkind
category,1.0,0.15964024811538646,0.10320871374653917,-0.21081851067789195,0.1516350793151491,0.23307361127050977,0.06641435771628686,0.2344036154692477,-0.020239224690630542,0.056407607481776624
collective,0.15964024811538646,1.0,-0.07701147556485244,-0.11878277418329972,0.120761472884912,0.10364146350020939,-0.08089377861617926,0.0847458633121878,-0.05737391592521976,-0.08210372296281489
datatype,0.10320871374653917,-0.07701147556485244,1.0,0.07938841860374447,0.047828670265295956,0.3480168066934192,-0.032038710455563564,-0.22884793182545404,-0.19265539421634423,-0.12272892320802117
kind,-0.21081851067789195,-0.11878277418329972,0.07938841860374447,1.0,-0.3227486121839514,0.137292411841319,-0.04941662111074008,-0.04941662111074008,0.09600307214746386,0.2803059552906941
mode,0.1516350793151491,0.120761472884912,0.047828670265295956,-0.3227486121839514,1.0,-0.06436746403319897,-0.46412014517526506,-0.25837616329344654,-0.03098485830098972,-0.30265777968149377
phase,0.23307361127050977,0.10364146350020939,0.3480168066934192,0.137292411841319,-0.06436746403319897,1.0,0.12372834943310808,0.12372834943310808,-0.24037057553357682,0.15724992382614375
relator,0.06641435771628686,-0.08089377861617926,-0.032038710455563564,-0.04941662111074008,-0.46412014517526506,0.12372834943310808,1.0,0.44871794871794873,0.19925419255468715,0.20273958938337894
role,0.2344036154692477,0.0847458633121878,-0.22884793182545404,-0.04941662111074008,-0.25837616329344654,0.12372834943310808,0.44871794871794873,1.0,0.19925419255468715,0.20273958938337894
roleMixin,-0.020239224690630542,-0.05737391592521976,-0.19265539421634423,0.09600307214746386,-0.03098485830098972,-0.24037057553357682,0.19925419255468715,0.19925419255468715,1.0,-0.025687040446902815
subkind,0.056407607481776624,-0.08210372296281489,-0.12272892320802117,0.2803059552906941,-0.30265777968149377,0.15724992382614375,0.20273958938337894,0.20273958938337894,-0.025687040446902815,1.0
