Stereotype,average_quantity,rank,proportion
abstract,0,8,0.0
category,1,6,0.02857142857142857
collective,1,6,0.02857142857142857
datatype,0,8,0.0
enumeration,0,8,0.0
event,0,8,0.0
historicalRole,0,8,0.0
historicalRoleMixin,0,8,0.0
kind,7,2,0.2
mixin,0,8,0.0
mode,0,8,0.0
phase,2,5,0.05714285714285714
phaseMixin,0,8,0.0
quality,0,8,0.0
quantity,0,8,0.0
relator,5,4,0.14285714285714285
role,13,1,0.37142857142857144
roleMixin,0,8,0.0
situation,0,8,0.0
subkind,6,3,0.17142857142857143
type,0,8,0.0
none,0,8,0.0
other,0,8,0.0
