Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,42,1,42,16.535433070866144
relator,39,2,81,31.88976377952756
role,39,3,120,47.24409448818898
subkind,33,4,153,60.23622047244095
collective,27,5,180,70.86614173228347
phase,19,6,199,78.34645669291339
category,15,7,214,84.25196850393701
roleMixin,12,8,226,88.9763779527559
datatype,9,9,235,92.51968503937007
mode,8,10,243,95.66929133858267
mixin,3,11,246,96.8503937007874
quality,3,12,249,98.03149606299213
type,2,13,251,98.81889763779527
enumeration,1,14,252,99.21259842519686
abstract,1,15,253,99.60629921259843
quantity,1,16,254,100.0
event,0,17,254,100.0
historicalRole,0,18,254,100.0
historicalRoleMixin,0,19,254,100.0
phaseMixin,0,20,254,100.0
situation,0,21,254,100.0
none,0,22,254,100.0
other,0,23,254,100.0
