stereotype1,stereotype2,geometric_mean_correlation
characterization,componentOf,0.14745872114220737
characterization,derivation,0.15459891943299645
characterization,material,0.14306000058376753
characterization,mediation,0.6011551643241131
characterization,memberOf,0.16392143996353556
componentOf,derivation,0.21822554938894792
componentOf,material,0.1331073763654333
componentOf,mediation,0.05497802570819159
componentOf,memberOf,0.22982730488308226
derivation,material,0.6148539735152267
derivation,mediation,0.3668929490608329
derivation,memberOf,0.16154831207465106
material,mediation,0.13054112569773954
material,memberOf,0.07900139675350311
mediation,memberOf,0.15950540609672684
