Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,1,0.272108843537415,1,0.2
20.0,3,0.6020408163265306,3,0.5285714285714286
30.0,5,0.8129251700680272,5,0.7571428571428571
40.0,7,0.8979591836734694,7,0.8714285714285714
50.0,9,0.9489795918367347,9,0.9285714285714286
60.0,11,0.9761904761904762,11,0.9571428571428572
70.0,13,0.9931972789115646,13,0.9857142857142858
80.0,15,1.0,15,1.0
90.0,17,1.0,17,1.0
100.0,19,1.0,19,1.0
