stereotype,total_correlation,rank
category,2.2763345132740676,5
collective,2.1936658779319784,9
datatype,1.436076592049222,17
event,2.3788654420620885,4
kind,2.489093117053462,2
mixin,1.8925087299212193,14
mode,2.854295487671168,1
phase,2.2017480479344775,8
quality,2.2135660125735206,7
relator,1.9181493916315353,13
role,2.161777372863691,10
roleMixin,2.243872293797907,6
situation,2.4284243331047923,3
subkind,2.141377956502568,12
type,2.1591960824831733,11
none,1.4566999126318838,16
other,1.4655481189069803,15
