Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none,other
category,1.0,0.11236444134498587,0.10655715507207211,0.03467927774601152,0.3741924163171777,0.052773302781744545,0.19679457578336815,0.015809877798136397,0.04547233322440464,0.30900598088746195,0.3158859174011476,0.31870015618808156,0.073083891673263,0.05595965941791379
collective,0.11236444134498587,1.0,0.048304960968398224,0.1974735222319597,0.20837278705499265,0.30322363319494633,0.031443723705675,0.27098391008095835,0.14000705256130935,0.019678270266650297,0.19586905343150313,0.13249824022307716,0.1287276152757111,0.07772667425199925
event,0.10655715507207211,0.048304960968398224,1.0,0.2077402689818566,0.18887665142555848,0.08851150109811685,0.11511730877901362,0.041963547603436784,0.0375627388409671,0.2790303674834982,0.020414723221679424,0.29429678228231104,0.12825870517857008,0.14236653441492492
kind,0.03467927774601152,0.1974735222319597,0.2077402689818566,1.0,0.10756556137259789,0.27928601792077107,0.09913935352098292,0.23123416888707396,0.445968177833143,0.13973896968294916,0.4834766428815401,0.1278427839411175,0.015008613524494308,0.022098979773160558
mode,0.3741924163171777,0.20837278705499265,0.18887665142555848,0.10756556137259789,1.0,0.1333821266955995,0.2063850209959077,0.16130853161005818,0.19252034137734064,0.3031408936885413,0.23211553941171342,0.2938464070252801,0.19610068805322908,0.08361967368329928
phase,0.052773302781744545,0.30322363319494633,0.08851150109811685,0.27928601792077107,0.1333821266955995,1.0,0.12641026007824355,0.20009967046830196,0.3221786773464607,0.07672375419936885,0.3536054413426046,0.017331733604121335,0.03676129845455812,0.016620700066055476
quality,0.19679457578336815,0.031443723705675,0.11511730877901362,0.09913935352098292,0.2063850209959077,0.12641026007824355,1.0,0.13894897043580315,0.12166764937466784,0.04077184370978833,0.18809503530368218,0.15820231915244415,0.1497615460758989,0.19167061606284097
relator,0.015809877798136397,0.27098391008095835,0.041963547603436784,0.23123416888707396,0.16130853161005818,0.20009967046830196,0.13894897043580315,1.0,0.2790759816825528,0.1692509492828085,0.1651292660455054,0.047882209332834366,0.18885572688162794,0.08756502785747616
role,0.04547233322440464,0.14000705256130935,0.0375627388409671,0.445968177833143,0.19252034137734064,0.3221786773464607,0.12166764937466784,0.2790759816825528,1.0,0.09376175475928723,0.1316662645829095,0.03815216218163587,0.06315870019208761,0.020296976796928993
roleMixin,0.30900598088746195,0.019678270266650297,0.2790303674834982,0.13973896968294916,0.3031408936885413,0.07672375419936885,0.04077184370978833,0.1692509492828085,0.09376175475928723,1.0,0.01272449295484259,0.31745879949460504,0.19649673875342094,0.0872374104434165
subkind,0.3158859174011476,0.19586905343150313,0.020414723221679424,0.4834766428815401,0.23211553941171342,0.3536054413426046,0.18809503530368218,0.1651292660455054,0.1316662645829095,0.01272449295484259,1.0,0.05852807880871092,0.05833491067431367,0.0811080801114627
type,0.31870015618808156,0.13249824022307716,0.29429678228231104,0.1278427839411175,0.2938464070252801,0.017331733604121335,0.15820231915244415,0.047882209332834366,0.03815216218163587,0.31745879949460504,0.05852807880871092,1.0,0.11640378238755252,0.042376983573997745
none,0.073083891673263,0.1287276152757111,0.12825870517857008,0.015008613524494308,0.19610068805322908,0.03676129845455812,0.1497615460758989,0.18885572688162794,0.06315870019208761,0.19649673875342094,0.05833491067431367,0.11640378238755252,1.0,0.08186675242575224
other,0.05595965941791379,0.07772667425199925,0.14236653441492492,0.022098979773160558,0.08361967368329928,0.016620700066055476,0.19167061606284097,0.08756502785747616,0.020296976796928993,0.0872374104434165,0.0811080801114627,0.042376983573997745,0.08186675242575224,1.0
