Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('event', 'subkind')",0.38095238095238093,0.5517241379310345
"('event', 'type')",0.3064516129032258,0.4691358024691358
"('event', 'none')",0.18461538461538463,0.3116883116883117
"('event', 'other')",0.2,0.3333333333333333
"('historicalRole', 'historicalRoleMixin')",0.14285714285714285,0.25
"('historicalRole', 'kind')",0.04854368932038835,0.09259259259259259
"('historicalRole', 'mixin')",0.0,0.0
"('historicalRole', 'mode')",0.015873015873015872,0.03125
"('historicalRole', 'phase')",0.044444444444444446,0.0851063829787234
"('historicalRole', 'phaseMixin')",0.0,0.0
"('historicalRole', 'quality')",0.020833333333333332,0.04081632653061224
"('historicalRole', 'quantity')",0.21428571428571427,0.35294117647058826
"('historicalRole', 'relator')",0.05434782608695652,0.10309278350515463
"('historicalRole', 'role')",0.058823529411764705,0.1111111111111111
"('historicalRole', 'roleMixin')",0.07142857142857142,0.13333333333333333
"('historicalRole', 'situation')",0.08333333333333333,0.15384615384615385
"('historicalRole', 'subkind')",0.043478260869565216,0.08333333333333333
"('historicalRole', 'type')",0.06666666666666667,0.125
"('historicalRole', 'none')",0.037037037037037035,0.07142857142857142
"('historicalRole', 'other')",0.045454545454545456,0.08695652173913043
"('historicalRoleMixin', 'kind')",0.009523809523809525,0.018867924528301886
"('historicalRoleMixin', 'mixin')",0.0,0.0
"('historicalRoleMixin', 'mode')",0.01639344262295082,0.03225806451612903
"('historicalRoleMixin', 'phase')",0.0,0.0
"('historicalRoleMixin', 'phaseMixin')",0.2222222222222222,0.36363636363636365
"('historicalRoleMixin', 'quality')",0.021739130434782608,0.0425531914893617
"('historicalRoleMixin', 'quantity')",0.07142857142857142,0.13333333333333333
"('historicalRoleMixin', 'relator')",0.010638297872340425,0.021052631578947368
"('historicalRoleMixin', 'role')",0.011494252873563218,0.022727272727272728
"('historicalRoleMixin', 'roleMixin')",0.03571428571428571,0.06896551724137931
"('historicalRoleMixin', 'situation')",0.043478260869565216,0.08333333333333333
"('historicalRoleMixin', 'subkind')",0.010752688172043012,0.02127659574468085
"('historicalRoleMixin', 'type')",0.1111111111111111,0.2
"('historicalRoleMixin', 'none')",0.04,0.07692307692307693
"('historicalRoleMixin', 'other')",0.0,0.0
"('kind', 'mixin')",0.1792452830188679,0.304
"('kind', 'mode')",0.4594594594594595,0.6296296296296297
"('kind', 'phase')",0.3942307692307692,0.5655172413793104
"('kind', 'phaseMixin')",0.05714285714285714,0.10810810810810811
"('kind', 'quality')",0.3486238532110092,0.5170068027210885
"('kind', 'quantity')",0.11650485436893204,0.20869565217391303
