stereotype,total_correlation,rank
category,2.4444324816036236,4
collective,2.0694296953878135,10
event,1.6985853191092621,11
kind,2.953586864650724,1
mode,2.7910333035321564,2
phase,2.2275370761891695,8
quality,1.6613716305911357,12
relator,2.417248516604469,5
role,2.360153681384231,6
roleMixin,2.193713284757357,9
subkind,2.693422624105442,3
type,2.2865947709869583,7
none,1.4840846859155743,13
