Construct,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,other,none
bringsAbout,,,,,,,,,,,,,,,,,,,,,
characterization,,1.0,0.15544912099949845,0.40830069944202313,,0.21710420368107755,0.4075991462558073,,,,0.11507368339840207,0.667188035468073,0.4853663418930348,0.23317368149924766,,0.15876527212720676,0.4140281548718295,,,0.6835885731209953,-0.010060246513042327
comparative,,0.15544912099949845,1.0,0.1858333711487273,,-0.12418325608727199,-0.05140163693778032,,,,-0.011886883216135182,0.17993072139588673,0.34743961448615174,-0.03571428571428571,,-0.07533357001388678,-0.05140163693778032,,,-0.17041563261558812,-0.09063025520255957
componentOf,,0.40830069944202313,0.1858333711487273,1.0,,0.40420510879969856,0.05226228034439396,,,,0.35475704251522544,0.48426191940318725,0.6497690427246803,-0.161055588328897,,0.3991946891766349,0.4303952498950091,,,0.3104281348483126,-0.17928152588358207
creation,,,,,,,,,,,,,,,,,,,,,
derivation,,0.21710420368107755,-0.12418325608727199,0.40420510879969856,,1.0,0.02259807556425288,,,,0.6633747289554919,0.5583641540949775,0.4083945773778626,-0.12418325608727199,,0.38739714914853535,0.4505919309478302,,,0.5364477933196317,-0.19710922924674515
externalDependence,,0.4075991462558073,-0.05140163693778032,0.05226228034439396,,0.02259807556425288,1.0,,,,-0.1498437715995708,0.15359276238115452,0.2500255089026734,0.7196229171289245,,-0.10842352682225855,-0.07397959183673469,,,0.3685090972758245,-0.05285037250971079
historicalDependence,,,,,,,,,,,,,,,,,,,,,
instantiation,,,,,,,,,,,,,,,,,,,,,
manifestation,,,,,,,,,,,,,,,,,,,,,
material,,0.11507368339840207,-0.011886883216135182,0.35475704251522544,,0.6633747289554919,-0.1498437715995708,,,,1.0,0.4949268170907047,0.36746910331629595,-0.1901901314581629,,0.2611100099043209,0.44599169814675405,,,0.4121273540110769,0.2038718686832465
mediation,,0.667188035468073,0.17993072139588673,0.48426191940318725,,0.5583641540949775,0.15359276238115452,,,,0.4949268170907047,1.0,0.5797594750846069,0.07197228855835469,,0.2394997107440476,0.45006251302384814,,,0.6683830784848651,-0.2378784585300129
memberOf,,0.4853663418930348,0.34743961448615174,0.6497690427246803,,0.4083945773778626,0.2500255089026734,,,,0.36746910331629595,0.5797594750846069,1.0,0.17371980724307587,,0.6463625923970692,0.47352311235148226,,,0.5211032683161899,-0.32375983229058614
participation,,0.23317368149924766,-0.03571428571428571,-0.161055588328897,,-0.12418325608727199,0.7196229171289245,,,,-0.1901901314581629,0.07197228855835469,0.17371980724307587,1.0,,-0.07533357001388678,-0.05140163693778032,,,0.2677959941102099,-0.2718907656076787
participational,,,,,,,,,,,,,,,,,,,,,
subCollectionOf,,0.15876527212720676,-0.07533357001388678,0.3991946891766349,,0.38739714914853535,-0.10842352682225855,,,,0.2611100099043209,0.2394997107440476,0.6463625923970692,-0.07533357001388678,,1.0,0.6804510993672778,,,0.2797802541510262,-0.22001032349729346
subQuantityOf,,0.4140281548718295,-0.05140163693778032,0.4303952498950091,,0.4505919309478302,-0.07397959183673469,,,,0.44599169814675405,0.45006251302384814,0.47352311235148226,-0.05140163693778032,,0.6804510993672778,1.0,,,0.47362480699056786,0.11188536307906859
termination,,,,,,,,,,,,,,,,,,,,,
triggers,,,,,,,,,,,,,,,,,,,,,
other,,0.6835885731209953,-0.17041563261558812,0.3104281348483126,,0.5364477933196317,0.3685090972758245,,,,0.4121273540110769,0.6683830784848651,0.5211032683161899,0.2677959941102099,,0.2797802541510262,0.47362480699056786,,,1.0,-0.1768164715558455
none,,-0.010060246513042327,-0.09063025520255957,-0.17928152588358207,,-0.19710922924674515,-0.05285037250971079,,,,0.2038718686832465,-0.2378784585300129,-0.32375983229058614,-0.2718907656076787,,-0.22001032349729346,0.11188536307906859,,,-0.1768164715558455,1.0
