Stereotype,x_value,y_value,quadrant
abstract,1,1,Q3
category,297,66,Q1
collective,67,26,Q2
datatype,78,20,Q4
enumeration,40,5,Q3
event,346,41,Q1
historicalRole,23,4,Q3
historicalRoleMixin,9,3,Q3
kind,912,77,Q1
mixin,17,14,Q3
mode,265,46,Q1
phase,197,33,Q1
phaseMixin,20,8,Q3
quality,242,42,Q1
quantity,11,7,Q3
relator,342,71,Q1
role,409,62,Q1
roleMixin,265,40,Q1
situation,68,17,Q3
subkind,1007,69,Q1
type,77,20,Q3
