Percentage,Top k Constructs,Coverage
10.0,2,0.29124236252545826
20.0,4,0.4847250509164969
30.0,6,0.6109979633401222
40.0,8,0.7107942973523421
50.0,10,0.7942973523421588
60.0,12,0.8655804480651731
70.0,14,0.9226069246435845
80.0,16,0.9674134419551935
90.0,18,0.9857433808553971
100.0,21,1.0
