Construct,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,1670,1,1670,39.7335236735665
mediation,641,2,2311,54.9845348560552
characterization,400,3,2711,64.50154651439448
material,325,4,3036,72.23411848679515
componentOf,233,5,3269,77.77777777777779
participation,207,6,3476,82.70283131096836
other,163,7,3639,86.58101356174161
derivation,106,8,3745,89.10302165120152
memberOf,73,9,3818,90.83987627884844
instantiation,69,10,3887,92.48156078991197
externalDependence,69,11,3956,94.12324530097548
creation,60,12,4016,95.55079704972638
historicalDependence,44,13,4060,96.5976683321437
manifestation,34,14,4094,97.40661432310254
bringsAbout,30,15,4124,98.12039019747799
comparative,22,16,4146,98.64382583868665
participational,17,17,4163,99.04829883416608
triggers,16,18,4179,99.42897930049965
subQuantityOf,11,19,4190,99.69069712110398
subCollectionOf,8,20,4198,99.88103735427076
termination,5,21,4203,100.0
