Construct,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,30,0.32608695652173914,12,0.13043478260869565,0.007137758743754461,0.024439918533604887
characterization,400,4.3478260869565215,57,0.6195652173913043,0.09517011658339282,0.11608961303462322
comparative,22,0.2391304347826087,5,0.05434782608695652,0.005234356412086605,0.010183299389002037
componentOf,233,2.532608695652174,32,0.34782608695652173,0.05543659290982631,0.06517311608961303
creation,60,0.6521739130434783,18,0.1956521739130435,0.014275517487508922,0.03665987780040733
derivation,106,1.1521739130434783,30,0.32608695652173914,0.025220080894599095,0.06109979633401222
externalDependence,69,0.75,20,0.21739130434782608,0.01641684511063526,0.04073319755600815
historicalDependence,44,0.4782608695652174,16,0.17391304347826086,0.01046871282417321,0.032586558044806514
instantiation,69,0.75,17,0.18478260869565216,0.01641684511063526,0.034623217922606926
manifestation,34,0.3695652173913043,12,0.13043478260869565,0.00808945990958839,0.024439918533604887
material,325,3.532608695652174,38,0.41304347826086957,0.07732571972400666,0.07739307535641547
mediation,641,6.967391304347826,62,0.6739130434782609,0.152510111824887,0.12627291242362526
memberOf,73,0.7934782608695652,21,0.22826086956521738,0.01736854627646919,0.04276985743380855
participation,207,2.25,28,0.30434782608695654,0.04925053533190578,0.05702647657841141
participational,17,0.18478260869565216,4,0.043478260869565216,0.004044729954794195,0.008146639511201629
subCollectionOf,8,0.08695652173913043,2,0.021739130434782608,0.0019034023316678564,0.004073319755600814
subQuantityOf,11,0.11956521739130435,2,0.021739130434782608,0.0026171782060433026,0.004073319755600814
termination,5,0.05434782608695652,3,0.03260869565217391,0.0011896264572924102,0.006109979633401222
triggers,16,0.17391304347826086,10,0.10869565217391304,0.0038068046633357128,0.020366598778004074
other,163,1.7717391304347827,21,0.22826086956521738,0.03878182250773257,0.04276985743380855
none,1670,18.152173913043477,81,0.8804347826086957,0.397335236735665,0.164969450101833
