Construct,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
other,6561,1,6561,78.32159484302255
none,1816,2,8377,100.0
abstract,0,3,8377,100.0
datatype,0,4,8377,100.0
enumeration,0,5,8377,100.0
category,0,6,8377,100.0
collective,0,7,8377,100.0
historicalRole,0,8,8377,100.0
event,0,9,8377,100.0
historicalRoleMixin,0,10,8377,100.0
kind,0,11,8377,100.0
phase,0,12,8377,100.0
phaseMixin,0,13,8377,100.0
mixin,0,14,8377,100.0
mode,0,15,8377,100.0
quantity,0,16,8377,100.0
quality,0,17,8377,100.0
relator,0,18,8377,100.0
role,0,19,8377,100.0
situation,0,20,8377,100.0
roleMixin,0,21,8377,100.0
type,0,22,8377,100.0
subkind,0,23,8377,100.0
