Percentage,Top k Constructs,Coverage
10.0,2,1.0
20.0,4,1.0
30.0,6,1.0
40.0,9,1.0
50.0,11,1.0
60.0,13,1.0
70.0,16,1.0
80.0,18,1.0
90.0,20,1.0
