year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,other,none
2005,0.0000000,0.0400000,0.0000000,0.1600000,0.0000000,0.0800000,0.0000000,0.0000000,0.0000000,0.0000000,0.0800000,0.2400000,0.0400000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2000000,0.1600000
2007,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000
2011,0.0000000,0.0000000,0.0000000,0.2857143,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.7142857,0.0000000
2012,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0333333,0.0000000,0.0000000,0.0000000,0.0000000,0.1333333,0.2833333,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0833333,0.4666667
2013,0.0000000,0.0000000,0.0000000,0.3333333,0.0000000,0.0606061,0.0000000,0.0000000,0.0000000,0.0000000,0.0606061,0.1212121,0.1212121,0.0000000,0.0000000,0.2121212,0.0000000,0.0000000,0.0000000,0.0909091,0.0000000
2014,0.0000000,0.0000000,0.0000000,0.1153846,0.0000000,0.1923077,0.0000000,0.0000000,0.0000000,0.0000000,0.1923077,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.5000000
2015,0.0000000,0.0521309,0.0000000,0.1107306,0.0000000,0.0372907,0.0007610,0.0000000,0.0000000,0.0000000,0.0989346,0.4805936,0.0460426,0.0000000,0.0000000,0.0045662,0.0011416,0.0000000,0.0000000,0.1126332,0.0551750
2016,0.0000000,0.1188811,0.1048951,0.0349650,0.0000000,0.0000000,0.0419580,0.0000000,0.0000000,0.0000000,0.0069930,0.1748252,0.0279720,0.0279720,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2377622,0.2237762
2017,0.0000000,0.0080000,0.0000000,0.0053333,0.0000000,0.0106667,0.0000000,0.0000000,0.0000000,0.0000000,0.0533333,0.0293333,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0533333,0.8400000
2018,0.0108696,0.0652174,0.0000000,0.0362319,0.0000000,0.0217391,0.0072464,0.0181159,0.0072464,0.0108696,0.0507246,0.0579710,0.0144928,0.0398551,0.0000000,0.0000000,0.0000000,0.0000000,0.0072464,0.0072464,0.6449275
2019,0.0000000,0.0644068,0.0000000,0.0406780,0.0000000,0.0203390,0.0000000,0.0067797,0.0169492,0.0033898,0.0372881,0.1932203,0.0271186,0.0271186,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2677966,0.2949153
2020,0.0000000,0.0592460,0.0000000,0.0789946,0.0071813,0.0161580,0.0179533,0.0000000,0.0071813,0.0053860,0.0107720,0.0700180,0.0000000,0.0197487,0.0000000,0.0000000,0.0000000,0.0000000,0.0035907,0.0879713,0.6157989
2021,0.0079156,0.1134565,0.0013193,0.0936675,0.0092348,0.0079156,0.0197889,0.0131926,0.0158311,0.0118734,0.1490765,0.1319261,0.0158311,0.0395778,0.0013193,0.0000000,0.0131926,0.0000000,0.0039578,0.0105541,0.3403694
2022,0.0070922,0.0557244,0.0000000,0.0344478,0.0273556,0.0293820,0.0212766,0.0212766,0.0354610,0.0050659,0.0547112,0.1641337,0.0151976,0.0911854,0.0091185,0.0081054,0.0010132,0.0010132,0.0040527,0.0020263,0.4123607
2023,0.0107399,0.1288783,0.0202864,0.0548926,0.0143198,0.0178998,0.0190931,0.0000000,0.0083532,0.0023866,0.0751790,0.1718377,0.0393795,0.0107399,0.0000000,0.0000000,0.0000000,0.0047733,0.0035800,0.0155131,0.4021480
2024,0.0101626,0.1646341,0.0081301,0.0325203,0.0203252,0.0711382,0.0101626,0.0121951,0.0081301,0.0223577,0.1300813,0.2500000,0.0020325,0.0975610,0.0142276,0.0000000,0.0000000,0.0000000,0.0040650,0.0203252,0.1219512
