Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,30,0.24793388429752067,12,0.09917355371900827,0.003989361702127659,0.01957585644371941
characterization,558,4.6115702479338845,68,0.5619834710743802,0.07420212765957447,0.11092985318107668
comparative,37,0.30578512396694213,6,0.049586776859504134,0.004920212765957447,0.009787928221859706
componentOf,551,4.553719008264463,45,0.371900826446281,0.07327127659574469,0.0734094616639478
creation,60,0.49586776859504134,18,0.1487603305785124,0.007978723404255319,0.02936378466557912
derivation,219,1.8099173553719008,39,0.32231404958677684,0.029122340425531915,0.0636215334420881
externalDependence,77,0.6363636363636364,22,0.18181818181818182,0.010239361702127659,0.03588907014681892
historicalDependence,44,0.36363636363636365,16,0.1322314049586777,0.005851063829787234,0.026101141924959218
instantiation,69,0.5702479338842975,17,0.14049586776859505,0.009175531914893616,0.02773246329526917
manifestation,34,0.2809917355371901,12,0.09917355371900827,0.0045212765957446804,0.01957585644371941
material,623,5.148760330578512,54,0.4462809917355372,0.08284574468085107,0.08809135399673736
mediation,1967,16.25619834710744,77,0.6363636363636364,0.2615691489361702,0.12561174551386622
memberOf,203,1.677685950413223,31,0.256198347107438,0.02699468085106383,0.05057096247960848
participation,211,1.743801652892562,29,0.2396694214876033,0.02805851063829787,0.04730831973898858
participational,17,0.14049586776859505,4,0.03305785123966942,0.0022606382978723402,0.0065252854812398045
subCollectionOf,27,0.2231404958677686,6,0.049586776859504134,0.0035904255319148936,0.009787928221859706
subQuantityOf,14,0.11570247933884298,4,0.03305785123966942,0.0018617021276595746,0.0065252854812398045
termination,5,0.04132231404958678,3,0.024793388429752067,0.0006648936170212766,0.004893964110929853
triggers,16,0.1322314049586777,10,0.08264462809917356,0.002127659574468085,0.01631321370309951
other,531,4.3884297520661155,35,0.2892561983471074,0.07061170212765958,0.057096247960848286
none,2227,18.40495867768595,105,0.8677685950413223,0.2961436170212766,0.17128874388254486
