year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,other,none
2005,0.00000,0.12500,0.00000,0.12500,0.00000,0.12500,0.00000,0.00000,0.00000,0.00000,0.12500,0.12500,0.12500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12500,0.12500
2007,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
2011,0.00000,0.00000,0.00000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.00000
2012,0.00000,0.00000,0.00000,0.00000,0.00000,0.12500,0.00000,0.00000,0.00000,0.00000,0.25000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12500,0.25000
2013,0.00000,0.00000,0.00000,0.11111,0.00000,0.11111,0.00000,0.00000,0.00000,0.00000,0.11111,0.11111,0.22222,0.00000,0.00000,0.22222,0.00000,0.00000,0.00000,0.11111,0.00000
2014,0.00000,0.00000,0.00000,0.20000,0.00000,0.20000,0.00000,0.00000,0.00000,0.00000,0.20000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40000
2015,0.00000,0.11765,0.00000,0.11765,0.00000,0.07843,0.01961,0.00000,0.00000,0.00000,0.09804,0.13725,0.09804,0.00000,0.00000,0.03922,0.03922,0.00000,0.00000,0.11765,0.13725
2016,0.00000,0.16667,0.05556,0.05556,0.00000,0.00000,0.05556,0.00000,0.00000,0.00000,0.05556,0.16667,0.11111,0.05556,0.00000,0.00000,0.00000,0.00000,0.00000,0.11111,0.16667
2017,0.00000,0.05000,0.00000,0.10000,0.00000,0.05000,0.00000,0.00000,0.00000,0.00000,0.25000,0.05000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.40000
2018,0.02703,0.10811,0.00000,0.08108,0.00000,0.02703,0.02703,0.02703,0.02703,0.02703,0.08108,0.16216,0.05405,0.02703,0.00000,0.00000,0.00000,0.00000,0.02703,0.05405,0.24324
2019,0.00000,0.10811,0.00000,0.05405,0.00000,0.08108,0.00000,0.02703,0.02703,0.02703,0.08108,0.16216,0.08108,0.02703,0.00000,0.00000,0.00000,0.00000,0.00000,0.13514,0.18919
2020,0.00000,0.10169,0.00000,0.06780,0.03390,0.08475,0.03390,0.00000,0.03390,0.01695,0.06780,0.11864,0.00000,0.05085,0.00000,0.00000,0.00000,0.00000,0.03390,0.10169,0.25424
2021,0.03704,0.12963,0.00926,0.07407,0.02778,0.04630,0.05556,0.02778,0.03704,0.03704,0.08333,0.11111,0.03704,0.06481,0.00926,0.00000,0.00926,0.00000,0.01852,0.03704,0.14815
2022,0.01802,0.10811,0.00000,0.04505,0.05405,0.05405,0.06306,0.07207,0.05405,0.01802,0.07207,0.11712,0.03604,0.06306,0.01802,0.01802,0.00901,0.00901,0.01802,0.01802,0.13514
2023,0.03226,0.11828,0.02151,0.07527,0.05376,0.08602,0.03226,0.00000,0.02151,0.01075,0.07527,0.13978,0.07527,0.05376,0.00000,0.00000,0.00000,0.02151,0.02151,0.01075,0.15054
2024,0.04348,0.13043,0.04348,0.06522,0.04348,0.04348,0.02174,0.06522,0.02174,0.04348,0.08696,0.10870,0.02174,0.08696,0.02174,0.00000,0.00000,0.00000,0.02174,0.02174,0.10870
