Percentage,Top k Constructs,Coverage
10.0,2,0.5577127659574468
20.0,4,0.7147606382978723
30.0,6,0.8586436170212766
40.0,8,0.9158244680851064
50.0,10,0.9530585106382978
60.0,12,0.9702127659574468
70.0,14,0.9809840425531915
80.0,16,0.9894946808510638
90.0,18,0.995345744680851
100.0,21,1.0
