year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,other,none
2005,0.00000,0.00163,0.00000,0.00163,0.00000,0.00163,0.00000,0.00000,0.00000,0.00000,0.00163,0.00163,0.00163,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00163,0.00163
2007,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00163
2011,0.00000,0.00000,0.00000,0.00163,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00163,0.00000
2012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00163,0.00000,0.00000,0.00000,0.00000,0.00326,0.00326,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00163,0.00326
2013,0.00000,0.00000,0.00000,0.00163,0.00000,0.00163,0.00000,0.00000,0.00000,0.00000,0.00163,0.00163,0.00326,0.00000,0.00000,0.00326,0.00000,0.00000,0.00000,0.00163,0.00000
2014,0.00000,0.00000,0.00000,0.00163,0.00000,0.00163,0.00000,0.00000,0.00000,0.00000,0.00163,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00326
2015,0.00000,0.00979,0.00000,0.00979,0.00000,0.00653,0.00163,0.00000,0.00000,0.00000,0.00816,0.01142,0.00816,0.00000,0.00000,0.00326,0.00326,0.00000,0.00000,0.00979,0.01142
2016,0.00000,0.00489,0.00163,0.00163,0.00000,0.00000,0.00163,0.00000,0.00000,0.00000,0.00163,0.00489,0.00326,0.00163,0.00000,0.00000,0.00000,0.00000,0.00000,0.00326,0.00489
2017,0.00000,0.00163,0.00000,0.00326,0.00000,0.00163,0.00000,0.00000,0.00000,0.00000,0.00816,0.00163,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00326,0.01305
2018,0.00163,0.00653,0.00000,0.00489,0.00000,0.00163,0.00163,0.00163,0.00163,0.00163,0.00489,0.00979,0.00326,0.00163,0.00000,0.00000,0.00000,0.00000,0.00163,0.00326,0.01468
2019,0.00000,0.00653,0.00000,0.00326,0.00000,0.00489,0.00000,0.00163,0.00163,0.00163,0.00489,0.00979,0.00489,0.00163,0.00000,0.00000,0.00000,0.00000,0.00000,0.00816,0.01142
2020,0.00000,0.00979,0.00000,0.00653,0.00326,0.00816,0.00326,0.00000,0.00326,0.00163,0.00653,0.01142,0.00000,0.00489,0.00000,0.00000,0.00000,0.00000,0.00326,0.00979,0.02447
2021,0.00653,0.02284,0.00163,0.01305,0.00489,0.00816,0.00979,0.00489,0.00653,0.00653,0.01468,0.01958,0.00653,0.01142,0.00163,0.00000,0.00163,0.00000,0.00326,0.00653,0.02610
2022,0.00326,0.01958,0.00000,0.00816,0.00979,0.00979,0.01142,0.01305,0.00979,0.00326,0.01305,0.02121,0.00653,0.01142,0.00326,0.00326,0.00163,0.00163,0.00326,0.00326,0.02447
2023,0.00489,0.01794,0.00326,0.01142,0.00816,0.01305,0.00489,0.00000,0.00326,0.00163,0.01142,0.02121,0.01142,0.00816,0.00000,0.00000,0.00000,0.00326,0.00326,0.00163,0.02284
2024,0.00326,0.00979,0.00326,0.00489,0.00326,0.00326,0.00163,0.00489,0.00163,0.00326,0.00653,0.00816,0.00163,0.00653,0.00163,0.00000,0.00000,0.00000,0.00163,0.00163,0.00816
