Group,Max Occurrences,Min Occurrences,Min Non-zero Occurrences,Range,Range Non-zero,Median Occurrences,Mode Occurrences,Standard Deviation,Variance,Q1,Q2,Q3,IQR,Skewness,Kurtosis
sortal,186,0,1,186,185,27.5,19,42.18221610602955,1779.3393556157787,16.0,27.5,50.5,34.5,2.0114706260525264,3.7262887866483525
non_sortal,47,0,1,47,46,4.0,0,9.124230425035408,83.25158084914183,1.0,4.0,8.0,7.0,2.4634904566153266,6.95790859968883
rigid,180,0,1,180,179,22.5,12,40.45680891437034,1636.7533875338756,13.0,22.5,40.75,27.75,2.266073041452505,4.972995357143732
non_rigid,57,0,1,57,56,8.0,0,11.083685665216409,122.84808792532372,2.25,8.0,15.5,13.25,1.637924400089225,3.1954832823588837
abstracts,29,0,1,29,28,0.0,0,4.12469374188169,17.013098464317977,0.0,0.0,1.0,1.0,4.80467140417134,27.098463315205045
temporal,81,0,1,81,80,0.0,0,10.831940011851769,117.33092442035532,0.0,0.0,6.0,6.0,4.731048639911004,29.83363256551179
rigid_sortal,174,0,2,174,172,19.5,10,39.220421893779346,1538.2414935260465,10.0,19.5,36.75,26.75,2.2730573153892215,5.064417315143642
rigid_non_sortal,17,0,1,17,16,1.0,0,4.238238059481877,17.962661848840707,0.0,1.0,5.0,5.0,1.703155505017889,2.3418575374845756
non_rigid_sortal,36,0,1,36,35,4.0,0,8.37721059375547,70.17765733212887,1.25,4.0,12.0,10.75,1.3771364483433646,1.3773272945323956
non_rigid_non_sortal,44,0,1,44,43,1.0,0,7.768025244548306,60.34221619993976,0.0,1.0,3.0,3.0,3.7856237977027303,15.342281766634159
