Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,72,1,72,11.726384364820847
relator,63,2,135,21.986970684039086
subkind,61,3,196,31.921824104234524
category,59,4,255,41.530944625407166
role,58,5,313,50.9771986970684
mode,41,6,354,57.65472312703584
quality,40,7,394,64.16938110749186
event,37,8,431,70.19543973941367
roleMixin,35,9,466,75.8957654723127
phase,32,10,498,81.10749185667753
collective,23,11,521,84.85342019543974
datatype,20,12,541,88.11074918566774
type,18,13,559,91.04234527687296
situation,15,14,574,93.48534201954396
mixin,13,15,587,95.60260586319218
phaseMixin,8,16,595,96.90553745928338
quantity,7,17,602,98.0456026058632
historicalRole,4,18,606,98.69706840390879
enumeration,4,19,610,99.3485342019544
historicalRoleMixin,3,20,613,99.8371335504886
abstract,1,21,614,100.0
