Stereotype,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,25th Percentile (Q1),75th Percentile (Q3),Interquartile Range (IQR)
abstract,0.009615384615384616,0.0,0,0.09805806756909202,0.009615384615384618,10.198039027185567,104.0,0.0,0.0,0.0
category,3.4134615384615383,1.0,0,5.067717314058212,25.68175877520538,3.1630916131318654,14.537265298436756,0.0,4.0,4.0
collective,0.6826923076923077,0.0,0,1.6562000200301958,2.742998506348021,3.6199066057957614,14.715943937337462,0.0,1.0,1.0
datatype,0.7596153846153846,0.0,0,2.0503146446087093,4.203790141896938,3.639277358720531,15.3030710190392,0.0,0.0,0.0
enumeration,0.38461538461538464,0.0,0,2.3162896858742066,5.365197908887231,7.30001436871806,56.41230693890916,0.0,0.0,0.0
event,4.355769230769231,0.0,0,9.55608713565792,91.31880134428678,5.446296381580018,40.19874144095417,0.0,5.25,5.25
historicalRole,0.22115384615384615,0.0,0,1.7006950650416164,2.8923637042569075,9.55939485601187,94.49742401617507,0.0,0.0,0.0
historicalRoleMixin,0.08653846153846154,0.0,0,0.5593091599200085,0.3128267363704257,6.82135067068872,46.31660576426639,0.0,0.0,0.0
kind,9.26923076923077,6.0,0,15.077940402494631,227.34428678118,5.239590302977727,36.02037211293065,1.75,11.0,9.25
mixin,0.25961538461538464,0.0,0,0.8922012954516911,0.7960231516056758,6.736653781694917,55.726674529260976,0.0,0.0,0.0
mode,2.894230769230769,0.0,0,6.529869041091203,42.63918969380134,4.54532782289645,24.154612812737476,0.0,3.0,3.0
phase,1.9615384615384615,0.0,0,3.8539428226246097,14.852875280059745,2.3582177626173406,5.208455771341985,0.0,2.0,2.0
phaseMixin,0.19230769230769232,0.0,0,0.8369723879511684,0.700522778192681,6.105634017888699,44.172292919073286,0.0,0.0,0.0
quality,2.394230769230769,0.0,0,5.053919500265172,25.542102315160566,3.3740797655533368,12.380661530115802,0.0,3.0,3.0
quantity,0.16346153846153846,0.0,0,0.593010697902438,0.3516616878267365,3.9296328851096516,15.134461321188644,0.0,0.0,0.0
relator,3.6153846153846154,2.0,0,4.919364731873203,24.20014936519791,2.6275810334766985,8.996817732853708,1.0,5.0,4.0
role,4.5673076923076925,2.5,0,5.138403709432074,26.403192681105303,1.3594430624845788,1.557434909686676,0.0,7.0,7.0
roleMixin,2.75,0.0,0,6.894137089846142,47.529126213592235,4.353716140485985,20.841961091583386,0.0,2.0,2.0
situation,0.7019230769230769,0.0,0,1.8584877853766821,3.4539768483943245,3.565193763326784,15.328635166342716,0.0,0.0,0.0
subkind,10.298076923076923,2.0,0,16.465250143416817,271.1044622852875,2.3958488971174234,5.967376532717546,0.0,14.25,14.25
type,1.0288461538461537,0.0,0,2.8265617068972135,7.989451082897689,3.944174176360728,18.425745247829603,0.0,0.0,0.0
none,2.0673076923076925,0.0,0,7.699784920810215,59.28668782673637,5.445718130879317,34.32864385835425,0.0,0.0,0.0
other,0.8173076923076923,0.0,0,2.4956833532225007,6.228435399551905,3.654954556173481,14.18210199914539,0.0,0.0,0.0
