Percentage,Top k Stereotypes,Coverage
10.0,2,0.20945083014048532
20.0,4,0.40102171136653897
30.0,6,0.558109833971903
40.0,9,0.7343550446998723
50.0,11,0.8148148148148148
60.0,13,0.8710089399744572
70.0,16,0.9425287356321839
80.0,18,0.9731800766283525
90.0,20,0.9897828863346104
100.0,23,1.0
