Stereotype,category,event,kind,mode,phase,relator,role,subkind,type,none_c,other_c,characterization,derivation,formal,material,mediation,none_r,other_r
category,1.0,0.07079427191090967,0.4928158986789492,0.513898728614516,0.43605753803643454,0.342430066418022,0.3556892255754004,0.6259060860254935,0.5283375529707313,0.012419894310363673,0.3668483315405696,0.469885205259286,0.23812885338619677,0.43624910298749897,0.49960629577044274,0.5600443105714873,0.11322147430728166,0.3537888708776958
event,0.07079427191090967,1.0,-0.2877227968606011,0.14966432071743554,-0.0413890974052972,-0.37496993161650966,0.027804841685207218,0.018394561770408553,0.3105875689125798,0.43976661018179947,0.3700570421451355,0.04928174961191037,-0.22359086326436448,-0.16490883469326897,0.08899478832030755,-0.15547402289739598,0.4895189540130988,0.05292498479646044
kind,0.4928158986789492,-0.2877227968606011,1.0,0.23596875678450502,0.17778228588137365,0.3658493455191798,0.5545199896369416,0.5700575310280869,0.2346242946869214,-0.07428288816693177,-0.13571031857725877,0.025316089464169692,0.3659504965674156,0.21031977080224545,0.6152240831737741,0.27480320824222143,0.0470004209344319,0.2398189386452983
mode,0.513898728614516,0.14966432071743554,0.23596875678450502,1.0,0.22113222903596638,0.2571797282493036,0.2818041877272512,0.24729632778891295,0.47429010988817827,0.24409044055867224,0.36519575529562376,0.5635083585549052,0.119159968311814,0.2897941891165621,0.21124069705950255,0.4663319202312743,0.18396649526794237,0.3242979985007124
phase,0.43605753803643454,-0.0413890974052972,0.17778228588137365,0.22113222903596638,1.0,0.19419815613430885,0.4091569057199877,0.36812376628281035,0.1842631240468055,0.010494934015895747,0.25518674185623996,0.05325798985805629,0.3805853452463866,0.3245286221944327,0.3118983128998426,0.27806085851438495,-0.07870075396979989,0.2083396848613729
relator,0.342430066418022,-0.37496993161650966,0.3658493455191798,0.2571797282493036,0.19419815613430885,1.0,0.5127283338951979,0.13326543661830537,0.29216607836755937,-0.20236568707449623,0.2553535194934782,0.3796903568910611,0.5575293492414373,0.4952965525293481,0.44559719802943976,0.6941081113119988,-0.06529633646261386,0.31561934377818784
role,0.3556892255754004,0.027804841685207218,0.5545199896369416,0.2818041877272512,0.4091569057199877,0.5127283338951979,1.0,0.2886530346131598,0.42837914969572116,0.04141406849463474,0.10062574486094239,0.1185352239796805,0.33821209110947736,0.24865496742045126,0.5397238583613075,0.3689037459967516,0.16297522012419438,0.22096035590013946
subkind,0.6259060860254935,0.018394561770408553,0.5700575310280869,0.24729632778891295,0.36812376628281035,0.13326543661830537,0.2886530346131598,1.0,0.3316797256851612,-0.06181373212466121,-0.013373055559972364,0.04016232797443182,0.14429085456585097,0.06623910951841333,0.439848699006334,0.3266089924157093,-0.022688018747582587,0.22770400452332856
type,0.5283375529707313,0.3105875689125798,0.2346242946869214,0.47429010988817827,0.1842631240468055,0.29216607836755937,0.42837914969572116,0.3316797256851612,1.0,0.24372395694538126,0.46652636597049774,0.34773358440899893,0.04732537279438898,0.22675252644545732,0.3177886681225312,0.28719426871239856,0.2613189510724185,0.2745738413570135
none_c,0.012419894310363673,0.43976661018179947,-0.07428288816693177,0.24409044055867224,0.010494934015895747,-0.20236568707449623,0.04141406849463474,-0.06181373212466121,0.24372395694538126,1.0,0.1987957584146777,-0.05061896694689339,-0.018703779865958267,0.026674056625701884,0.09880599561824742,-0.09683121797927134,0.5011638413838866,-0.0749572869940605
