Stereotype,category,collective,datatype,enumeration,event,kind,mixin,mode,phase,quality,quantity,relator,role,roleMixin,situation,subkind,type,none_c,other_c,characterization,componentOf,derivation,formal,material,mediation,memberOf,subCollectionOf,none_r,other_r
category,1.0,0.2037037037037037,-0.023688968483956716,-0.14085904245475275,0.10425720702853739,0.11744404390294069,0.2332892374559041,0.4739970491621009,0.36514837167011077,0.042257712736425826,0.08947924869885988,0.07597371763975863,0.11785113019775792,0.4274909800354809,-0.023688968483956716,0.5185185185185185,0.3386670053338413,-0.07408340741677778,0.13701805122009747,0.41285291674420505,0.10425720702853739,0.13701805122009747,0.2037037037037037,0.31634332522625586,0.3857583749052298,0.2037037037037037,-0.14085904245475275,0.17766726362967536,0.2332892374559041
collective,0.2037037037037037,1.0,0.33164555877539403,-0.042257712736425826,-0.33014782225703504,0.13701805122009747,0.29414729940092255,0.422288280162599,0.1622881651867159,-0.042257712736425826,0.24287224646833397,0.1709408646894569,0.11785113019775792,0.017099639201419235,-0.13028932666176193,0.08333333333333333,0.21166687833365083,-0.20108353441696827,-0.13701805122009747,0.27230724295894376,0.34752402342845795,0.2446750914644598,0.39814814814814814,0.2393949488198693,0.2828894749305018,0.7592592592592593,0.3239757976459313,-0.33164555877539403,0.1622881651867159
datatype,-0.023688968483956716,0.33164555877539403,1.0,0.0900937462695559,0.07779698928301773,0.2503915429180672,0.4411494016915297,0.19843823866609064,-0.06487491201346025,0.0900937462695559,0.47420070662160324,-0.20652005056869158,0.0,-0.13124359177794215,0.21212121212121213,0.13028932666176193,0.13538259026847058,-0.21661214442955296,0.07511746287542015,0.24720661623652207,0.22227711223719354,-0.08763704002132351,0.023688968483956716,0.010936965981495178,-0.03289758474798845,0.33164555877539403,0.0900937462695559,-0.015151515151515152,0.1037998592215364
enumeration,-0.14085904245475275,-0.042257712736425826,0.0900937462695559,1.0,-0.11014177763285023,0.19851666679418606,0.21602468994692867,0.04370188612670307,0.015430334996209192,0.16428571428571428,0.37595815966025536,0.024078566516544362,0.05976143046671969,0.0086710996952412,0.0900937462695559,0.042257712736425826,0.03756714418984553,-0.1717355162964367,-0.19851666679418606,0.2538981798168031,0.23350056858164248,-0.004962916669854651,-0.042257712736425826,0.0086710996952412,0.14345114601325779,-0.042257712736425826,0.16428571428571428,-0.0900937462695559,0.21602468994692867
event,0.10425720702853739,-0.33014782225703504,0.07779698928301773,-0.11014177763285023,1.0,-0.345903960984675,0.03806934938134405,0.21294496747348954,-0.08565603610802411,0.061679395474396125,-0.007996162762590017,-0.2881193767663155,-0.1843024451936214,0.334267617062936,0.5112373581455452,0.10425720702853739,0.22178136543293245,0.3508779811326991,0.345903960984675,0.09066481509192072,-0.2717391304347826,-0.2510099539888792,-0.2172025146427862,-0.08289836903160813,-0.16891598117304404,-0.10425720702853739,-0.11014177763285023,0.21116325662533386,0.28552012036008034
kind,0.11744404390294069,0.13701805122009747,0.2503915429180672,0.19851666679418606,-0.345903960984675,1.0,0.0428845013935118,0.042510208555811654,0.18225913092242513,-0.38214458357880815,0.2251886745555225,0.02342198415362776,0.45675013919556984,-0.13254455128833115,-0.23787196577216382,0.2446750914644598,0.007457704245544709,-0.1379675285425771,-0.05862068965517241,-0.018569533817705184,0.37039273698359004,0.3448275862068966,0.13701805122009747,0.572351471472339,0.045305023518296864,0.13701805122009747,0.19851666679418606,-0.08763704002132351,0.18225913092242513
mixin,0.2332892374559041,0.29414729940092255,0.4411494016915297,0.21602468994692867,0.03806934938134405,0.0428845013935118,1.0,0.3776274560246805,0.4222222222222222,0.41661904489764817,0.5181036310903636,0.07282190812544191,0.3872983346207417,0.19668302043215574,0.1037998592215364,0.10143010324169743,0.47533236815417246,0.023186944788008413,-0.0428845013935118,0.44263520637871306,0.16179473487071222,0.09649012813540155,0.29414729940092255,0.19668302043215574,0.14085904245475275,0.29414729940092255,0.21602468994692867,0.2335496832484569,0.2777777777777778
mode,0.4739970491621009,0.422288280162599,0.19843823866609064,0.04370188612670307,0.21294496747348954,0.042510208555811654,0.3776274560246805,1.0,0.25489853281665936,-0.12673546976743888,0.2815775896170011,0.2062466393120523,0.07312724241271307,0.48807911397944004,-0.08819477274048472,0.3619613829965134,0.32178399126805257,0.19372709678382757,0.07591108670680652,0.47420070662160324,0.10782023669543774,0.07591108670680652,0.08618128166583652,0.17772445998164393,0.2952169423244472,0.3102526139970115,0.04370188612670307,0.2315112784437724,0.25489853281665936
phase,0.36514837167011077,0.1622881651867159,-0.06487491201346025,0.015430334996209192,-0.08565603610802411,0.18225913092242513,0.4222222222222222,0.25489853281665936,1.0,0.015430334996209192,0.33606722016672236,0.07282190812544191,0.25819888974716115,0.318439175937776,-0.06487491201346025,0.36514837167011077,0.1739020859100631,0.023186944788008413,-0.0428845013935118,0.06735753140545633,0.16179473487071222,0.3752393871932282,0.29414729940092255,0.19668302043215574,0.14085904245475275,0.1622881651867159,0.21602468994692867,-0.1037998592215364,0.13333333333333333
quality,0.042257712736425826,-0.042257712736425826,0.0900937462695559,0.16428571428571428,0.061679395474396125,-0.38214458357880815,0.41661904489764817,-0.12673546976743888,0.015430334996209192,1.0,0.12315870747491124,0.024078566516544362,0.05976143046671969,0.1777575437524446,0.32433748657040123,-0.14085904245475275,0.2468698046761278,-0.1717355162964367,-0.19851666679418606,0.2538981798168031,-0.2819629507400966,-0.19851666679418606,-0.042257712736425826,-0.3295017884191656,-0.026082026547865053,-0.2253744679276044,-0.11428571428571428,0.14414999403128942,0.015430334996209192
