Stereotype,category,event,kind,mode,phase,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,derivation,formal,material,mediation,memberOf,none_r
category,1.0,0.08591165848154882,0.2405790764811389,0.49354481147251045,0.3990309511409879,0.16129378530311264,0.2047397793132204,0.45255370349689517,0.569687542831738,0.42300176934619,0.03033328353917512,0.4404469065917545,0.2004473357004189,0.18063208859516902,0.2981032673688298,0.39755140159228985,0.46480295085226897,0.2877107125133876,0.1418300022008472
event,0.08591165848154882,1.0,0.31547496746916537,0.17852244650776053,0.05954180062633867,0.3286884588838749,0.07158561525058804,0.31039754132434155,0.04379230108930911,0.26245482491264466,0.3928160133576029,0.06684400284221606,0.2769474079446688,0.2369040571630674,0.18925806081165886,0.08589250726382776,0.16205569142931686,0.11054796863782462,0.32150959007350466
kind,0.2405790764811389,0.31547496746916537,1.0,0.10015528475105497,0.18000679131116495,0.0925684480444893,0.5032664129995156,0.05712746496836732,0.3734687116001838,0.04183011592853391,0.10123550016370848,0.021681973605669504,0.4358831627031278,0.35523207400593365,0.169757489167286,0.5934007156127554,0.11157941482333232,0.18954742583110976,0.0641792627758364
mode,0.49354481147251045,0.17852244650776053,0.10015528475105497,1.0,0.2374158392773012,0.23030947581592415,0.1435533460036665,0.5018088928455757,0.29918509457597325,0.39066477263605587,0.2174555871945281,0.5169294553552891,0.19397502130922462,0.09510816309075909,0.15803428310773943,0.19375922896999287,0.37103784658571526,0.3552037338262267,0.20637421958738342
phase,0.3990309511409879,0.05954180062633867,0.18000679131116495,0.2374158392773012,1.0,0.1189196379247047,0.32502901222703906,0.3528279979752418,0.3666330506531519,0.17900765801508098,0.015599533825738707,0.059894296259790064,0.19194450874639346,0.3779029130940608,0.3089647517060719,0.24767943444871365,0.19790751949959542,0.16539750715975934,0.09038322401139495
relator,0.16129378530311264,0.3286884588838749,0.0925684480444893,0.23030947581592415,0.1189196379247047,1.0,0.28746069844736105,0.3292836046273531,0.07954821907488832,0.22759480055293757,0.22313736228166478,0.3790414911772979,0.14669695224206786,0.4529946064236917,0.38185650664289583,0.2627396288948695,0.6855023069051878,0.21822726081114244,0.0563288719370121
role,0.2047397793132204,0.07158561525058804,0.5032664129995156,0.1435533460036665,0.32502901222703906,0.28746069844736105,1.0,0.09157502211920156,0.18443992616614607,0.31011926448358745,0.04312246015748758,0.0,0.09755778006222585,0.23701048668159547,0.17118489693833056,0.44246855304013893,0.0,0.0,0.22167290712331728
roleMixin,0.45255370349689517,0.31039754132434155,0.05712746496836732,0.5018088928455757,0.3528279979752418,0.3292836046273531,0.09157502211920156,1.0,0.2030633095752403,0.3431188258123482,0.14636779272351985,0.3681209700879403,0.11798931670486962,0.05394726192278901,0.33395025776070814,0.0742338214662222,0.3787372192936319,0.05747928994663722,0.14490186581369935
subkind,0.569687542831738,0.04379230108930911,0.3734687116001838,0.29918509457597325,0.3666330506531519,0.07954821907488832,0.18443992616614607,0.2030633095752403,1.0,0.33515515724473566,0.06265122437026961,0.05312551856665104,0.3773289431017195,0.03757891857857788,0.1021103643038686,0.3730190344206395,0.29932327127108255,0.08157138264196898,0.023183092137911695
type,0.42300176934619,0.26245482491264466,0.04183011592853391,0.39066477263605587,0.17900765801508098,0.22759480055293757,0.31011926448358745,0.3431188258123482,0.33515515724473566,1.0,0.2282239431307902,0.2954373539273261,0.14118544507546707,0.018786661055405794,0.12960941246469135,0.29135153481131676,0.15914166456803544,0.2670632261974147,0.23791775547839636
none_c,0.03033328353917512,0.3928160133576029,0.10123550016370848,0.2174555871945281,0.015599533825738707,0.22313736228166478,0.04312246015748758,0.14636779272351985,0.06265122437026961,0.2282239431307902,1.0,0.08435148614958576,0.02082561401717638,0.011810472408591056,0.04115585364850553,0.11764326191827584,0.12700093408675295,0.051116701875333195,0.3294816753519321
characterization,0.4404469065917545,0.06684400284221606,0.021681973605669504,0.5169294553552891,0.059894296259790064,0.3790414911772979,0.0,0.3681209700879403,0.05312551856665104,0.2954373539273261,0.08435148614958576,1.0,0.3450862023474598,0.24095724442478184,0.3447547418679478,0.07830535751870923,0.6457895968397387,0.389672239576687,0.11836713723320545
componentOf,0.2004473357004189,0.2769474079446688,0.4358831627031278,0.19397502130922462,0.19194450874639346,0.14669695224206786,0.09755778006222585,0.11798931670486962,0.3773289431017195,0.14118544507546707,0.02082561401717638,0.3450862023474598,1.0,0.3865264849829253,0.30109987539338084,0.35956039782783245,0.33270660662338447,0.5138713216034617,0.21648961902043
derivation,0.18063208859516902,0.2369040571630674,0.35523207400593365,0.09510816309075909,0.3779029130940608,0.4529946064236917,0.23701048668159547,0.05394726192278901,0.03757891857857788,0.018786661055405794,0.011810472408591056,0.24095724442478184,0.3865264849829253,1.0,0.4884563973106803,0.6479556548417859,0.4692070559346614,0.3530382664702811,0.09873664704489485
formal,0.2981032673688298,0.18925806081165886,0.169757489167286,0.15803428310773943,0.3089647517060719,0.38185650664289583,0.17118489693833056,0.33395025776070814,0.1021103643038686,0.12960941246469135,0.04115585364850553,0.3447547418679478,0.30109987539338084,0.4884563973106803,1.0,0.29200945653431964,0.4893126037556879,0.5282045043596065,0.2952783027780791
material,0.39755140159228985,0.08589250726382776,0.5934007156127554,0.19375922896999287,0.24767943444871365,0.2627396288948695,0.44246855304013893,0.0742338214662222,0.3730190344206395,0.29135153481131676,0.11764326191827584,0.07830535751870923,0.35956039782783245,0.6479556548417859,0.29200945653431964,1.0,0.34331543976258505,0.24822848293110322,0.044821705700965456
mediation,0.46480295085226897,0.16205569142931686,0.11157941482333232,0.37103784658571526,0.19790751949959542,0.6855023069051878,0.0,0.3787372192936319,0.29932327127108255,0.15914166456803544,0.12700093408675295,0.6457895968397387,0.33270660662338447,0.4692070559346614,0.4893126037556879,0.34331543976258505,1.0,0.4305326786135315,0.1819327427727823
memberOf,0.2877107125133876,0.11054796863782462,0.18954742583110976,0.3552037338262267,0.16539750715975934,0.21822726081114244,0.0,0.05747928994663722,0.08157138264196898,0.2670632261974147,0.051116701875333195,0.389672239576687,0.5138713216034617,0.3530382664702811,0.5282045043596065,0.24822848293110322,0.4305326786135315,1.0,0.31161392965294893
none_r,0.1418300022008472,0.32150959007350466,0.0641792627758364,0.20637421958738342,0.09038322401139495,0.0563288719370121,0.22167290712331728,0.14490186581369935,0.023183092137911695,0.23791775547839636,0.3294816753519321,0.11836713723320545,0.21648961902043,0.09873664704489485,0.2952783027780791,0.044821705700965456,0.1819327427727823,0.31161392965294893,1.0
