Group,DistanceFromOrigin,Rank
sortal,3553.3468650399477,1
rigid,3144.5560561341777,2
rigid_sortal,2847.606949418106,3
non_rigid,943.9139697189696,4
non_rigid_sortal,633.2018942970708,5
non_sortal,613.2974435404961,6
temporal,448.22099303929775,7
non_rigid_non_sortal,315.16801412366397,8
rigid_non_sortal,305.5413275410362,9
abstracts,121.59769734661919,10
