Group,DistanceFromOrigin,Rank
sortal,97.9317690025162,1
rigid,97.20140708702495,2
rigid_sortal,93.27894068356082,3
non_rigid,79.65798820624434,4
non_sortal,74.29451432120047,5
non_rigid_sortal,67.34793222126535,6
rigid_non_sortal,66.07890486563745,7
non_rigid_non_sortal,47.12141062531417,8
temporal,41.28560787695121,9
abstracts,23.036342722128055,10
