Stereotype,characterization,componentOf,derivation,externalDependence,historicalDependence,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.21988761119280684,0.039978798399024386,0.39408989839290987,0.2326962284915529,0.30306437313298346,0.10568497536840596,0.33419056488053844,0.07897649996446582,0.3008383497611826,0.0056871204263878455,0.07235093424262533
componentOf,0.21988761119280684,1.0,0.035202573941303925,0.011523902080893256,0.08280900226208526,0.18913122262303922,0.2033493684374423,0.14270078004068829,0.2587343464582182,0.02688048453969497,0.11257054971787002,0.025866835474521448
derivation,0.039978798399024386,0.035202573941303925,1.0,0.09017514595382967,0.12083414148072211,0.14343201412335002,0.46730239343688124,0.3583869353826979,0.16643283796723696,0.051687896241518635,0.023801333315450993,0.30068612289697094
externalDependence,0.39408989839290987,0.011523902080893256,0.09017514595382967,1.0,0.37348223820193227,0.5454684846983339,0.2516712615848538,0.1083961031379845,0.13488173542127216,0.367984341349749,0.012835002149235566,0.08246326864271002
historicalDependence,0.2326962284915529,0.08280900226208526,0.12083414148072211,0.37348223820193227,1.0,0.5696071120898948,0.019240782386253298,0.09250149663234083,0.08662480270138942,0.5477408710695085,0.11509272022922483,0.04855295018886757
instantiation,0.30306437313298346,0.18913122262303922,0.14343201412335002,0.5454684846983339,0.5696071120898948,1.0,0.15362909409111417,0.030303973485456943,0.008623119428013155,0.506940311023073,0.08302011288680039,0.1063739917296786
material,0.10568497536840596,0.2033493684374423,0.46730239343688124,0.2516712615848538,0.019240782386253298,0.15362909409111417,1.0,0.30421828893027647,0.13829084862265958,0.06932503477359732,0.14902465073377866,0.13931397358826544
mediation,0.33419056488053844,0.14270078004068829,0.3583869353826979,0.1083961031379845,0.09250149663234083,0.030303973485456943,0.30421828893027647,1.0,0.2926480212245535,0.04136913173123656,0.18166184114225195,0.16913765623283358
memberOf,0.07897649996446582,0.2587343464582182,0.16643283796723696,0.13488173542127216,0.08662480270138942,0.008623119428013155,0.13829084862265958,0.2926480212245535,1.0,0.13556185681955804,0.2227114819345653,0.1928107457671432
participation,0.3008383497611826,0.02688048453969497,0.051687896241518635,0.367984341349749,0.5477408710695085,0.506940311023073,0.06932503477359732,0.04136913173123656,0.13556185681955804,1.0,0.08180533127048134,0.08348428162166047
none,0.0056871204263878455,0.11257054971787002,0.023801333315450993,0.012835002149235566,0.11509272022922483,0.08302011288680039,0.14902465073377866,0.18166184114225195,0.2227114819345653,0.08180533127048134,1.0,0.022793403170957502
other,0.07235093424262533,0.025866835474521448,0.30068612289697094,0.08246326864271002,0.04855295018886757,0.1063739917296786,0.13931397358826544,0.16913765623283358,0.1928107457671432,0.08348428162166047,0.022793403170957502,1.0
