Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none,other
bringsAbout,1.0,0.2600139867894549,0.039569159975909665,0.13803283909490377,-0.006785703587853287,0.2276028603743236,0.4132079828389377,0.30282437007887314,0.3643318998951527,0.10412102667762739,-0.11146267863404571,-0.09026960902981648,0.5529926345697208,0.053643174128257524,-0.14062222245620531
characterization,0.2600139867894549,1.0,0.24866299815559323,0.0865642693733204,0.06554020207949879,0.3601764708846171,0.20014541262748603,0.27534309509839805,0.27857866838843653,0.1235265300023809,0.37374449117671915,0.11416734289313459,0.2847202146432851,0.0005356869554443542,0.08961296449444917
componentOf,0.039569159975909665,0.24866299815559323,1.0,0.03982095012222257,-0.047099285290490046,-0.011328293000167381,0.10103823165340056,0.19864027758864788,0.21395104801497436,0.18267225233014395,0.10448057998503116,0.25385674768556904,-0.02264511486379325,-0.0796870881024227,0.014192139878798036
creation,0.13803283909490377,0.0865642693733204,0.03982095012222257,1.0,0.0666580520274602,0.2350193577406581,0.33868378812199035,0.39845099289009667,0.3857821893556587,-0.0331516552442799,0.08352229588656743,0.1634010327486824,0.6525634500093757,0.16374698337949178,0.012364066354511871
derivation,-0.006785703587853287,0.06554020207949879,-0.047099285290490046,0.0666580520274602,1.0,-0.08901032338672951,-0.12230835234396367,-0.13606099980438216,-0.1600441876278309,0.5052186515682133,0.4102355055541974,0.18384870366187583,-0.038668789533858265,0.07486325753428887,0.2967672984850922
externalDependence,0.2276028603743236,0.3601764708846171,-0.011328293000167381,0.2350193577406581,-0.08901032338672951,1.0,0.3782560077246095,0.5627350833252814,0.43375798615775263,-0.2487591607847191,0.08898505507541006,0.13132530120481928,0.36807809347148024,-0.0060799708882683465,0.08623075421151986
historicalDependence,0.4132079828389377,0.20014541262748603,0.10103823165340056,0.33868378812199035,-0.12230835234396367,0.3782560077246095,1.0,0.5590789861099791,0.5623847027051381,-0.0331516552442799,0.08352229588656743,0.09178270775670672,0.5185374572856156,0.08343298676955058,-0.051310875371224265
instantiation,0.30282437007887314,0.27534309509839805,0.19864027758864788,0.39845099289009667,-0.13606099980438216,0.5627350833252814,0.5590789861099791,1.0,0.7937698808978731,-0.16705007992790546,-0.009869275424396536,0.0060799708882683465,0.48862238794416263,0.09242424242424242,0.11892374507581378
manifestation,0.3643318998951527,0.27857866838843653,0.21395104801497436,0.3857821893556587,-0.1600441876278309,0.43375798615775263,0.5623847027051381,0.7937698808978731,1.0,-0.1098378434595955,-0.02109873681424305,0.05124880315904954,0.5156718443390461,0.06413460737579878,0.18622078016132693
material,0.10412102667762739,0.1235265300023809,0.18267225233014395,-0.0331516552442799,0.5052186515682133,-0.2487591607847191,-0.0331516552442799,-0.16705007992790546,-0.1098378434595955,1.0,0.3224052574797422,0.15237107108731326,-0.07288078521204376,-0.1140962964213472,0.17182766415545744
mediation,-0.11146267863404571,0.37374449117671915,0.10448057998503116,0.08352229588656743,0.4102355055541974,0.08898505507541006,0.08352229588656743,-0.009869275424396536,-0.02109873681424305,0.3224052574797422,1.0,0.2904237511801845,0.0622184906599424,-0.10307909887703048,0.17344547654330258
memberOf,-0.09026960902981648,0.11416734289313459,0.25385674768556904,0.1634010327486824,0.18384870366187583,0.13132530120481928,0.09178270775670672,0.0060799708882683465,0.05124880315904954,0.15237107108731326,0.2904237511801845,1.0,0.1358450544052477,-0.1452437489975216,0.19656327202253288
participation,0.5529926345697208,0.2847202146432851,-0.02264511486379325,0.6525634500093757,-0.038668789533858265,0.36807809347148024,0.5185374572856156,0.48862238794416263,0.5156718443390461,-0.07288078521204376,0.0622184906599424,0.1358450544052477,1.0,0.09734521053480083,0.0761754053810734
none,0.053643174128257524,0.0005356869554443542,-0.0796870881024227,0.16374698337949178,0.07486325753428887,-0.0060799708882683465,0.08343298676955058,0.09242424242424242,0.06413460737579878,-0.1140962964213472,-0.10307909887703048,-0.1452437489975216,0.09734521053480083,1.0,0.004804999801042981
other,-0.14062222245620531,0.08961296449444917,0.014192139878798036,0.012364066354511871,0.2967672984850922,0.08623075421151986,-0.051310875371224265,0.11892374507581378,0.18622078016132693,0.17182766415545744,0.17344547654330258,0.19656327202253288,0.0761754053810734,0.004804999801042981,1.0
