Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.007503607503607504,0.10679611650485436,0.10705939765423034,15,Q3
characterization,0.08831168831168831,0.5339805825242718,0.5412339760264699,3,Q1
comparative,0.003751803751803752,0.038834951456310676,0.039015759456994495,17,Q3
componentOf,0.0455988455988456,0.3106796116504854,0.31400808240432887,5,Q1
creation,0.009812409812409812,0.13592233009708737,0.13627605514303773,13,Q3
derivation,0.02106782106782107,0.2815533980582524,0.2823405196614444,6,Q1
externalDependence,0.02049062049062049,0.1941747572815534,0.19525291775909728,9,Q1
historicalDependence,0.010101010101010102,0.13592233009708737,0.1362971394567116,12,Q3
instantiation,0.01818181818181818,0.14563106796116504,0.14676166552579786,11,Q1
manifestation,0.009812409812409812,0.11650485436893204,0.11691734036426223,14,Q3
material,0.07907647907647908,0.39805825242718446,0.40583674287638977,4,Q1
mediation,0.13015873015873017,0.6116504854368932,0.6253459933282696,2,Q1
memberOf,0.013275613275613276,0.1941747572815534,0.19462805109540046,10,Q1
participation,0.03347763347763348,0.23300970873786409,0.2354023710784728,8,Q1
participational,0.0005772005772005772,0.019417475728155338,0.019426052716901145,20,Q3
subCollectionOf,0.00202020202020202,0.019417475728155338,0.019522284186434997,18,Q3
subQuantityOf,0.0,0.0,0.0,21,Q3
termination,0.0008658008658008658,0.019417475728155338,0.019436768630426284,19,Q3
triggers,0.004329004329004329,0.08737864077669903,0.08748581109222196,16,Q3
none,0.44213564213564216,0.8543689320388349,0.9619928264180955,1,Q1
other,0.05945165945165945,0.27184466019417475,0.27826968769099236,7,Q1
