stereotype,total_correlation,rank
bringsAbout,2.8054801481310823,6
characterization,2.7613323335622177,8
componentOf,1.5576441666471639,14
creation,2.79776192234922,7
derivation,2.2031093124857337,11
externalDependence,3.2273447182303556,5
historicalDependence,3.5368414424394503,4
instantiation,4.109873387478321,2
manifestation,4.140813178351876,1
material,2.3410699295950494,9
mediation,2.23849298917738,10
memberOf,2.006427116720722,12
participation,3.886964932853446,3
none,1.0831173521895083,15
other,1.6190616643923503,13
