Group,x_value,y_value,quadrant
sortal,97.5206611570248,68.0909090909091,Q1
non_sortal,78.51239669421489,10.50413223140496,Q4
rigid,98.34710743801654,52.95867768595041,Q1
non_rigid,86.77685950413223,23.87603305785124,Q1
abstracts,25.6198347107438,1.256198347107438,Q3
temporal,43.80165289256198,4.8347107438016526,Q3
rigid_sortal,95.86776859504133,48.14876033057851,Q1
rigid_non_sortal,71.07438016528926,4.809917355371901,Q3
non_rigid_sortal,74.3801652892562,18.181818181818183,Q2
non_rigid_non_sortal,52.89256198347108,5.694214876033058,Q3
