Group,DistanceFromOrigin
sortal,8239.577129886733
non_sortal,1273.4226307218942
rigid,6408.754649192105
non_rigid,2890.302963937414
abstracts,154.144010362407
temporal,586.6375241971148
rigid_sortal,5826.788706402129
rigid_non_sortal,586.3237736233114
non_rigid_sortal,2201.2570065733935
non_rigid_non_sortal,691.0272231346428
