Group,x_value,y_value,quadrant
sortal,118,97.5206611570248,Q1
non_sortal,95,78.51239669421489,Q1
rigid,119,98.34710743801654,Q1
non_rigid,105,86.77685950413223,Q1
abstracts,31,25.6198347107438,Q3
temporal,53,43.80165289256198,Q3
rigid_sortal,116,95.86776859504133,Q1
rigid_non_sortal,86,71.07438016528926,Q3
non_rigid_sortal,90,74.3801652892562,Q3
non_rigid_non_sortal,64,52.89256198347108,Q3
