Group,x_value,y_value,quadrant
sortal,118,8239,Q1
non_sortal,95,1271,Q4
rigid,119,6408,Q1
non_rigid,105,2889,Q1
abstracts,31,152,Q3
temporal,53,585,Q3
rigid_sortal,116,5826,Q1
rigid_non_sortal,86,582,Q3
non_rigid_sortal,90,2200,Q2
non_rigid_non_sortal,64,689,Q3
