construct,x_value,y_value,quadrant
abstract,1,9.78952520802741e-05,Q3
category,582,0.0569750367107195,Q1
collective,132,0.0129221732745961,Q3
datatype,88,0.0086147821830641,Q3
enumeration,63,0.0061674008810572,Q3
event,474,0.0464023494860499,Q1
historicalRole,23,0.0022515907978463,Q3
historicalRoleMixin,9,0.0008810572687224,Q3
kind,1586,0.1552618697993147,Q1
mixin,84,0.008223201174743,Q3
mode,543,0.0531571218795888,Q1
phase,332,0.032501223690651,Q1
phaseMixin,20,0.0019579050416054,Q3
quality,251,0.0245717082721488,Q1
quantity,44,0.004307391091532,Q3
relator,1247,0.1220753793441018,Q1
role,1845,0.1806167400881057,Q1
roleMixin,576,0.0563876651982378,Q1
situation,79,0.0077337249143416,Q3
subkind,2023,0.1980420949583945,Q1
type,213,0.0208516886930983,Q1
