Stereotype,x_value,y_value,quadrant
abstract,1,1,Q3
category,582,86,Q1
collective,132,35,Q2
datatype,88,26,Q3
enumeration,63,8,Q3
event,474,53,Q1
historicalRole,23,4,Q3
historicalRoleMixin,9,3,Q3
kind,1586,101,Q1
mixin,84,22,Q3
mode,543,58,Q1
phase,332,41,Q1
phaseMixin,20,8,Q3
quality,251,44,Q1
quantity,44,12,Q3
relator,1247,91,Q1
role,1845,84,Q1
roleMixin,576,54,Q1
situation,79,21,Q3
subkind,2023,88,Q1
type,213,26,Q4
