construct,x_value,y_value,quadrant
abstract,1,0.0082644628099173,Q3
category,582,4.809917355371901,Q1
collective,132,1.0909090909090908,Q3
datatype,88,0.7272727272727273,Q3
enumeration,63,0.5206611570247934,Q3
event,474,3.9173553719008254,Q1
historicalRole,23,0.1900826446280991,Q3
historicalRoleMixin,9,0.0743801652892562,Q3
kind,1586,13.107438016528926,Q1
mixin,84,0.6942148760330579,Q3
mode,543,4.487603305785124,Q1
phase,332,2.743801652892562,Q1
phaseMixin,20,0.1652892561983471,Q3
quality,251,2.074380165289256,Q1
quantity,44,0.3636363636363636,Q3
relator,1247,10.305785123966942,Q1
role,1845,15.24793388429752,Q1
roleMixin,576,4.760330578512397,Q1
situation,79,0.6528925619834711,Q3
subkind,2023,16.71900826446281,Q1
type,213,1.7603305785123966,Q1
