construct,x_value,y_value,quadrant
abstract,1,9.78952520802741e-05,Q3
category,86,0.0569750367107195,Q1
collective,35,0.0129221732745961,Q4
datatype,26,0.0086147821830641,Q3
enumeration,8,0.0061674008810572,Q3
event,53,0.0464023494860499,Q1
historicalRole,4,0.0022515907978463,Q3
historicalRoleMixin,3,0.0008810572687224,Q3
kind,101,0.1552618697993147,Q1
mixin,22,0.008223201174743,Q3
mode,58,0.0531571218795888,Q1
phase,41,0.032501223690651,Q1
phaseMixin,8,0.0019579050416054,Q3
quality,44,0.0245717082721488,Q1
quantity,12,0.004307391091532,Q3
relator,91,0.1220753793441018,Q1
role,84,0.1806167400881057,Q1
roleMixin,54,0.0563876651982378,Q1
situation,21,0.0077337249143416,Q3
subkind,88,0.1980420949583945,Q1
type,26,0.0208516886930983,Q2
