Stereotype,DistanceFromOrigin,Rank
subkind,2023.0000025521351,1
role,1845.0000025497432,2
kind,1586.0000042881877,3
relator,1247.0000044274182,4
category,582.0000084724328,5
roleMixin,576.0000033751979,6
mode,543.0000041303834,7
event,474.00000395100534,8
phase,332.00000337570003,9
quality,251.0000051423999,10
type,213.00000211593007,11
collective,132.00000618723152,12
datatype,88.00000512151243,13
mixin,84.00000384149511,14
situation,79.00000372173724,15
enumeration,63.000000677288405,16
quantity,44.00000218194614,17
historicalRole,23.00000046379532,18
phaseMixin,20.00000213345838,19
historicalRoleMixin,9.000000666705755,20
abstract,1.0000006667055579,21
